ODB,f1_Hz,sigma_max_SM2_MPa,sigma_max_Mres_MPa,DAF_SM2,DAF_Mres,U1_tip_max_m,U2_tip_max_m
tree_H6m_DBH15cm,0.4953,167.344,167.759,9.297,9.320,0.0000,0.0000
tree_H6m_DBH15cm,0.4953,167.344,167.759,9.297,9.320,0.0000,0.0000
