# Davenport 1961
time_s,U_ms,u_turbulent_ms,F_drag_N
6.5000,24.4934,4.4934,2204.7385
6.5500,23.2319,3.2319,1983.4834
6.6000,23.1534,3.1534,1970.0985
6.6500,23.9814,3.9814,2113.5160
6.7000,24.0096,4.0096,2118.4959
6.7500,24.4695,4.4695,2200.4292
6.8000,24.5416,4.5416,2213.4103
6.8500,24.7694,4.7694,2254.7002
6.9000,23.3612,3.3612,2005.6238
6.9500,24.0514,4.0514,2125.8776
7.0000,23.2824,3.2824,1992.1115
7.0500,22.8317,2.8317,1915.7258
7.1000,23.3730,3.3730,2007.6489
7.1500,22.4879,2.4879,1858.4649
7.2000,23.1319,3.1319,1966.4305
7.2500,22.3509,2.3509,1835.8862
7.3000,21.9523,1.9523,1771.0031
7.3500,20.2840,0.2840,1512.0465
7.4000,19.9956,-0.0044,1469.3595
7.4500,20.9225,0.9225,1608.7382
7.5000,18.8392,-1.1608,1304.3127
7.5500,18.2090,-1.7910,1218.5117
7.6000,19.3842,-0.6158,1380.8753
7.6500,20.6137,0.6137,1561.5967
7.7000,20.4744,0.4744,1540.5614
7.7500,21.2527,1.2527,1659.9209
7.8000,20.3637,0.3637,1523.9493
7.8500,20.5095,0.5095,1545.8489
7.9000,21.3229,1.3229,1670.8956
7.9500,20.5762,0.5762,1555.9279
8.0000,19.7615,-0.2385,1435.1495
8.0500,19.6217,-0.3783,1414.9150
8.1000,20.1531,0.1531,1492.5848
8.1500,20.8042,0.8042,1590.5922
8.2000,21.1691,1.1691,1646.8869
8.2500,20.0659,0.0659,1479.6993
8.3000,21.0254,1.0254,1624.6041
8.3500,20.3806,0.3806,1526.4746
8.4000,20.5406,0.5406,1550.5381
8.4500,21.5472,1.5472,1706.2347
8.5000,23.3174,3.3174,1998.1073
8.5500,22.3050,2.3050,1828.3562
8.6000,22.4956,2.4956,1859.7345
8.6500,23.9132,3.9132,2101.5120
8.7000,23.6319,3.6319,2052.3659
8.7500,22.3848,2.3848,1841.4623
8.8000,20.6320,0.6320,1564.3666
8.8500,19.6193,-0.3807,1414.5738
8.9000,20.0991,0.0991,1484.5985
8.9500,20.5941,0.5941,1558.6295
9.0000,20.9018,0.9018,1605.5493
9.0500,21.5608,1.5608,1708.3963
9.1000,21.4447,1.4447,1690.0449
9.1500,21.4085,1.4085,1684.3445
9.2000,19.3852,-0.6148,1381.0103
9.2500,19.1424,-0.8576,1346.6411
9.3000,18.2299,-1.7701,1221.3136
9.3500,18.3742,-1.6258,1240.7166
9.4000,18.0737,-1.9263,1200.4699
9.4500,17.2465,-2.7535,1093.0996
9.5000,17.9658,-2.0342,1186.1837
9.5500,20.2437,0.2437,1506.0372
9.6000,19.2954,-0.7046,1368.2458
9.6500,18.8894,-1.1106,1311.2743
9.7000,18.8403,-1.1597,1304.4723
9.7500,20.3721,0.3721,1525.2003
9.8000,18.9935,-1.0065,1325.7711
9.8500,17.9312,-2.0688,1181.6119
9.9000,18.6332,-1.3668,1275.9498
9.9500,18.2511,-1.7489,1224.1503
10.0000,19.6340,-0.3660,1416.6874
10.0500,20.8089,0.8089,1591.3088
10.1000,21.7368,1.7368,1736.3877
10.1500,21.8585,1.8585,1755.8954
10.2000,21.1653,1.1653,1646.2953
10.2500,21.2802,1.2802,1664.2064
10.3000,21.5917,1.5917,1713.2904
10.3500,23.6590,3.6590,2057.0732
10.4000,23.9805,3.9805,2113.3598
10.4500,24.2905,4.2905,2168.3490
10.5000,25.7981,5.7981,2445.8728
10.5500,24.1034,4.1034,2135.0816
10.6000,23.1893,3.1893,1976.2022
10.6500,24.8880,4.8880,2276.3336
10.7000,24.4148,4.4148,2190.6051
10.7500,23.9868,3.9868,2114.4757
10.8000,25.1177,5.1177,2318.5522
10.8500,24.6845,4.6845,2239.2690
10.9000,24.3899,4.3899,2186.1322
10.9500,24.5615,4.5615,2216.9999
11.0000,24.8683,4.8683,2272.7424
11.0500,24.9347,4.9347,2284.8981
11.1000,25.4752,5.4752,2385.0233
11.1500,25.5119,5.5119,2391.8976
11.2000,25.0903,5.0903,2313.5003
11.2500,24.4386,4.4386,2194.8828
11.3000,24.8317,4.8317,2266.0495
11.3500,23.3871,3.3871,2010.0599
11.4000,23.2682,3.2682,1989.6842
11.4500,22.1074,2.1074,1796.1164
11.5000,23.2396,3.2396,1984.7984
11.5500,22.2444,2.2444,1818.4418
11.6000,22.4142,2.4142,1846.2994
11.6500,22.5006,2.5006,1860.5726
11.7000,21.1339,1.1339,1641.4150
11.7500,22.0672,2.0672,1789.5843
11.8000,23.5169,3.5169,2032.4464
11.8500,23.7240,3.7240,2068.3973
11.9000,23.4025,3.4025,2012.7067
11.9500,24.2463,4.2463,2160.4729
12.0000,24.7293,4.7293,2247.4000
12.0500,24.4559,4.4559,2197.9924
12.1000,22.6163,2.6163,1879.7530
12.1500,22.4149,2.4149,1846.4152
12.2000,21.7564,1.7564,1739.5314
12.2500,22.8034,2.8034,1910.9751
12.3000,24.7653,4.7653,2253.9511
12.3500,25.4639,5.4639,2382.9069
12.4000,26.5841,6.5841,2597.1839
12.4500,25.9054,5.9054,2466.2545
12.5000,26.9978,6.9978,2678.6359
12.5500,27.6021,7.6021,2799.9037
12.6000,28.9149,8.9149,3072.5726
12.6500,28.1898,8.1898,2920.3889
12.7000,26.0136,6.0136,2486.8968
12.7500,25.2928,5.2928,2350.9859
12.8000,24.6841,4.6841,2239.1899
12.8500,26.4845,6.4845,2577.7480
12.9000,26.9281,6.9281,2664.8172
12.9500,27.0622,7.0622,2691.4300
13.0000,26.3497,6.3497,2551.5859
13.0500,26.1385,6.1385,2510.8348
13.1000,25.2171,5.2171,2336.9353
13.1500,25.0715,5.0715,2310.0319
13.2000,24.9419,4.9419,2286.2090
13.2500,26.1732,6.1732,2517.5167
13.3000,25.4086,5.4086,2372.5642
13.3500,24.9599,4.9599,2289.5108
13.4000,24.4913,4.4913,2204.3526
13.4500,24.0463,4.0463,2124.9696
13.5000,22.5745,2.5745,1872.8046
13.5500,23.5417,3.5417,2036.7253
13.6000,22.6929,2.6929,1892.5106
13.6500,21.4618,1.4618,1692.7409
13.7000,20.6231,0.6231,1563.0289
13.7500,21.6240,1.6240,1718.4228
13.8000,23.7620,3.7620,2075.0259
13.8500,23.7670,3.7670,2075.9056
13.9000,23.3734,3.3734,2007.7077
13.9500,24.0221,4.0221,2120.7079
14.0000,25.2707,5.2707,2346.8843
14.0500,26.6744,6.6744,2614.8515
14.1000,27.0813,7.0813,2695.2422
14.1500,25.8284,5.8284,2451.6248
14.2000,25.6523,5.6523,2418.3073
14.2500,25.0174,5.0174,2300.0729
14.3000,23.4102,3.4102,2014.0313
14.3500,23.9121,3.9121,2101.3290
14.4000,22.8085,2.8085,1911.8323
14.4500,23.1064,3.1064,1962.1101
14.5000,24.3730,4.3730,2183.1033
14.5500,24.9873,4.9873,2294.5424
14.6000,25.1451,5.1451,2323.6176
14.6500,24.5277,4.5277,2210.9018
14.7000,23.1681,3.1681,1972.5939
14.7500,24.1310,4.1310,2139.9633
14.8000,23.6571,3.6571,2056.7407
14.8500,24.2255,4.2255,2156.7736
14.9000,23.4211,3.4211,2015.9198
14.9500,23.5462,3.5462,2037.4997
15.0000,22.6564,2.6564,1886.4153
15.0500,22.9428,2.9428,1934.4101
15.1000,23.3262,3.3262,1999.6072
15.1500,22.7262,2.7262,1898.0702
15.2000,22.3424,2.3424,1834.5021
15.2500,21.5224,1.5224,1702.3055
15.3000,21.8676,1.8676,1757.3501
15.3500,22.0052,2.0052,1779.5481
