# ABAQUS Dynamic Analysis - Stress History at Element 1 Base
# Variable: SM2
time_s,SM2_Nm,sigma_bending_MPa
8.5234,4679.8706,3.448262
8.5734,4441.8120,3.272853
8.6234,4005.4004,2.951293
8.6734,4213.8389,3.104876
8.7234,4967.5439,3.660228
8.7734,5154.7598,3.798174
8.8234,4686.1250,3.452870
8.8734,4627.2954,3.409523
8.9234,5657.0098,4.168246
8.9734,7215.2100,5.316372
9.0234,8297.9619,6.114174
9.0734,8788.1270,6.475342
9.1234,9253.0215,6.817889
9.1734,9845.8125,7.254675
9.2234,10185.0791,7.504656
9.2734,10184.2676,7.504058
9.3234,10230.2520,7.537941
9.3734,10430.7627,7.685683
9.4234,10457.6748,7.705512
9.4734,10057.5361,7.410679
9.5234,9564.3076,7.047254
9.5734,9447.7695,6.961385
9.6234,9170.7988,6.757305
9.6734,8060.3838,5.939120
9.7234,6783.0703,4.997959
9.7734,6159.6724,4.538622
9.8234,5642.2349,4.157359
9.8734,4477.0723,3.298834
9.9234,3194.7422,2.353977
9.9734,2556.2458,1.883515
10.0234,2480.3892,1.827621
10.0734,2585.4492,1.905033
10.1234,2532.1375,1.865751
10.1734,2220.9221,1.636439
10.2234,1923.2159,1.417080
10.2734,2054.0676,1.513495
10.3234,2891.3206,2.130407
10.3734,4305.0176,3.172059
10.4234,5697.8579,4.198344
10.4734,6726.4238,4.956220
10.5234,7829.1147,5.768714
10.5734,9016.1309,6.643342
10.6234,9988.5596,7.359855
10.6734,11418.7598,8.413667
10.7234,13337.2871,9.827292
10.7734,14737.4922,10.859003
10.8234,15698.0742,11.566788
10.8734,16707.1152,12.310278
10.9234,17533.6426,12.919287
10.9734,18150.0020,13.373438
11.0234,18701.9883,13.780157
11.0734,19047.1348,14.034471
11.1234,19111.5020,14.081898
11.1734,18870.4980,13.904320
11.2234,18183.1055,13.397829
11.2734,17156.7305,12.641567
11.3234,16114.1357,11.873354
11.3734,14954.4092,11.018834
11.4234,13412.4756,9.882693
11.4734,11745.6592,8.654536
11.5234,10334.2314,7.614556
11.5734,9017.2354,6.644155
11.6234,7447.7505,5.487714
11.6734,5738.2837,4.228131
11.7234,4118.1040,3.034336
11.7734,2912.1611,2.145763
11.8234,2463.5757,1.815233
11.8734,2197.6892,1.619320
11.9234,1482.8605,1.092614
11.9734,929.3513,0.684772
12.0234,1227.3317,0.904333
12.0734,1846.3864,1.360470
12.1234,2005.2035,1.477491
12.1734,2072.9868,1.527436
12.2234,2962.8467,2.183110
12.2734,4854.4912,3.576927
12.3234,7221.1372,5.320739
12.3734,9327.3477,6.872655
12.4234,10853.1504,7.996910
12.4734,12200.9229,8.989987
12.5234,13983.5449,10.303474
12.5734,16404.1406,12.087037
12.6234,18827.0293,13.872291
12.6734,20194.6445,14.879988
12.7234,20246.8008,14.918419
12.7734,20173.1211,14.864129
12.8234,21194.5020,15.616712
12.8734,22936.1406,16.900001
12.9234,24010.2891,17.691464
12.9734,23551.2051,17.353198
13.0234,22140.2988,16.313602
13.0734,20914.4395,15.410354
13.1234,20033.3027,14.761107
13.1734,18900.8496,13.926684
13.2234,17353.0234,12.786201
13.2734,15738.7939,11.596791
13.3234,14013.3535,10.325437
13.3734,11861.9453,8.740219
13.4234,9560.7490,7.044632
13.4734,7487.4785,5.516987
13.5234,5584.2236,4.114615
13.5734,3937.2715,2.901094
13.6234,2510.4546,1.849774
13.6734,878.8423,0.647556
13.7234,-693.6686,0.511115
13.7734,-1275.1597,0.939574
13.8234,-732.7437,0.539906
13.8734,-167.7310,0.123589
13.9234,-338.4204,0.249358
13.9734,-286.1244,0.210825
14.0234,1205.1495,0.887988
14.0734,3749.7507,2.762923
14.1234,5921.5278,4.363150
14.1734,7040.9248,5.187954
14.2234,8057.1484,5.936736
14.2734,10013.1045,7.377940
14.3234,12426.8770,9.156476
14.3734,14496.5098,10.681441
14.4234,16147.9551,11.898273
14.4734,17670.6445,13.020233
14.5234,19494.0332,14.363758
14.5734,21336.4258,15.721285
14.6234,22286.5840,16.421389
14.6734,22107.7988,16.289655
14.7234,21442.3652,15.799345
14.7734,21105.9414,15.551458
14.8234,21032.3848,15.497259
14.8734,20308.3477,14.963768
14.9234,18606.8496,13.710056
14.9734,16483.1777,12.145274
15.0234,14491.4297,10.677698
15.0734,12726.5859,9.377310
15.1234,10937.9941,8.059425
15.1734,8760.8643,6.455254
15.2234,6205.1919,4.572162
15.2734,3829.2231,2.821481
15.3234,2075.2249,1.529085
15.3734,926.4687,0.682648
15.4234,65.8651,0.048531
15.4734,-1047.6875,0.771966
15.5234,-2572.9878,1.895851
15.5734,-3594.0132,2.648171
15.6234,-3196.0269,2.354923
15.6734,-1813.7587,1.336429
15.7234,-579.3690,0.426896
15.7734,143.5439,0.105767
15.8234,981.9339,0.723517
15.8734,2523.5398,1.859416
15.9234,4829.3262,3.558385
15.9734,7505.9790,5.530619
16.0234,9863.4619,7.267679
16.0734,11778.4355,8.678686
16.1234,13918.7090,10.255701
16.1734,16428.5840,12.105048
16.2234,18465.3301,13.605780
16.2734,19584.3320,14.430293
16.3234,20292.0156,14.951734
16.3734,20932.9590,15.424000
16.4234,21353.5801,15.733925
16.4734,21376.4180,15.750753
16.5234,21002.1660,15.474993
16.5734,20515.1523,15.116148
16.6234,19787.3496,14.579882
16.6734,18050.2852,13.299963
16.7234,15172.0576,11.179204
16.7734,12040.9756,8.872133
16.8234,9594.9131,7.069805
16.8734,7936.4126,5.847775
16.9234,6144.4116,4.527377
16.9734,3526.6245,2.598517
17.0234,1018.2001,0.750239
17.0734,-393.3024,0.289796
17.1234,-1691.7140,1.246503
17.1734,-3611.2065,2.660840
17.2234,-4979.3423,3.668921
17.2734,-5024.7451,3.702375
17.3234,-4299.0029,3.167628
17.3734,-3645.3069,2.685966
17.4234,-3331.2302,2.454545
17.4734,-2749.0879,2.025606
17.5234,-1333.9945,0.982925
17.5734,973.5063,0.717307
17.6234,3811.8699,2.808694
17.6734,6286.4224,4.632015
17.7234,8017.9780,5.907874
17.7734,9843.6631,7.253091
17.8234,12438.3398,9.164923
17.8734,15100.1484,11.126219
17.9234,16744.3125,12.337686
17.9734,17559.8066,12.938565
18.0234,18554.0352,13.671141
18.0734,20058.4824,14.779660
18.1234,21282.0176,15.681196
18.1734,21127.4395,15.567298
18.2234,19857.4648,14.631545
18.2734,18908.9785,13.932673
18.3234,18844.1152,13.884880
18.3734,18552.0684,13.669692
18.4234,16491.5645,12.151454
18.4734,13103.0635,9.654710
18.5234,10533.2227,7.761178
18.5734,9412.4316,6.935347
18.6234,8311.1865,6.123919
18.6734,6005.0566,4.424697
18.7234,3138.8625,2.312803
18.7734,1263.0944,0.930684
18.8234,237.5507,0.175034
18.8734,-1233.8966,0.909170
18.9234,-3103.4897,2.286740
18.9734,-4397.9170,3.240510
19.0234,-4828.4004,3.557703
19.0734,-4836.6758,3.563800
19.1234,-4704.2144,3.466199
19.1734,-4337.1357,3.195725
19.2234,-3850.8059,2.837383
19.2734,-3277.8699,2.415228
19.3234,-2219.8059,1.635616
19.3734,-596.9135,0.439823
19.4234,1002.5642,0.738718
19.4734,2189.1133,1.613001
19.5234,3396.9121,2.502941
19.5734,5146.8716,3.792361
19.6234,7177.2217,5.288381
19.6734,8760.2969,6.454836
19.7234,9714.5127,7.157929
19.7734,10496.9570,7.734456
19.8234,11173.4053,8.232883
19.8734,11558.8584,8.516896
19.9234,11931.4697,8.791446
19.9734,12439.8838,9.166060
20.0234,12753.6494,9.397252
20.0734,12536.9424,9.237576
20.1234,11932.4414,8.792162
20.1734,11391.2090,8.393367
20.2234,10726.9824,7.903946
20.2734,9557.8701,7.042511
20.3234,8413.2852,6.199148
20.3734,7641.0093,5.630113
20.4234,6813.1694,5.020137
20.4734,5876.1709,4.329730
20.5234,5104.4341,3.761092
20.5734,4482.6733,3.302961
20.6234,3835.9026,2.826402
20.6734,3326.1523,2.450804
20.7234,3238.3423,2.386103
20.7734,3156.3408,2.325682
20.8234,2853.4043,2.102469
20.8734,3104.9104,2.287786
20.9234,4116.3604,3.033051
20.9734,4977.6948,3.667707
21.0234,5287.4946,3.895976
21.0734,5674.7119,4.181289
21.1234,6847.2109,5.045220
21.1734,8641.5352,6.367329
21.2234,9847.7217,7.256081
21.2734,9781.1289,7.207014
21.3234,9372.4463,6.905885
21.3734,9755.1514,7.187873
21.4234,10854.0596,7.997580
21.4734,11682.3340,8.607876
21.5234,11686.3262,8.610817
21.5734,11236.0537,8.279044
21.6234,10774.6533,7.939071
21.6734,10482.1543,7.723549
21.7234,10237.5840,7.543343
21.7734,9664.2578,7.120900
21.8234,8643.6504,6.368887
21.8734,7403.6943,5.455253
21.9234,6209.5283,4.575357
21.9734,5269.6035,3.882794
22.0234,4851.4023,3.574651
22.0734,4915.8467,3.622136
22.1234,4899.1860,3.609860
22.1734,4488.9116,3.307558
22.2234,3996.9751,2.945085
22.2734,3881.3936,2.859921
22.3234,4220.9155,3.110091
22.3734,4752.2212,3.501572
22.4234,5705.8721,4.204249
22.4734,7449.1685,5.488759
22.5234,9294.9609,6.848792
22.5734,10570.9551,7.788980
22.6234,11582.0625,8.533993
22.6734,12741.1494,9.388041
22.7234,14472.5186,10.663763
22.7734,16904.6387,12.455819
22.8234,19223.6152,14.164506
22.8734,20293.8262,14.953068
22.9234,20298.2461,14.956325
22.9734,21108.9805,15.553697
23.0234,22987.5840,16.937906
23.0734,23896.1152,17.607337
23.1234,23478.6523,17.299739
23.1734,22894.1973,16.869096
23.2234,22304.2910,16.434436
23.2734,21595.4180,15.912118
23.3234,20869.2695,15.377071
23.3734,20119.0508,14.824289
23.4234,19274.5684,14.202050
23.4734,18008.8301,13.269418
23.5234,16024.2168,11.807099
23.5734,13517.1504,9.959821
23.6234,11231.9541,8.276023
23.6734,9652.6152,7.112321
23.7234,8507.0215,6.268215
23.7734,7419.9717,5.467246
23.8234,6256.8398,4.610218
23.8734,5031.0972,3.707055
23.9234,3752.6162,2.765034
23.9734,2777.4021,2.046469
24.0234,2723.5049,2.006756
24.0734,3338.5935,2.459971
24.1234,3846.2400,2.834019
24.1734,4208.9766,3.101294
24.2234,5063.6548,3.731045
24.2734,6699.5942,4.936452
24.3234,8303.5078,6.118261
24.3734,9087.8018,6.696151
24.4234,9922.4482,7.311142
24.4734,12010.0146,8.849320
24.5234,14657.0303,10.799717
24.5734,16321.2852,12.025987
24.6234,16920.0352,12.467163
24.6734,17564.9355,12.942344
24.7234,18930.6582,13.948647
24.7734,20655.5469,15.219594
24.8234,21637.9492,15.943456
24.8734,21266.7676,15.669959
24.9234,20410.4551,15.039004
24.9734,19911.8633,14.671627
25.0234,19355.6348,14.261782
25.0734,18348.2441,13.519508
25.1234,16976.1523,12.508512
25.1734,15264.6309,11.247414
25.2234,13360.0791,9.844086
25.2734,11277.0625,8.309260
25.3234,8845.8652,6.517885
25.3734,6572.0005,4.842437
25.4234,4950.4072,3.647601
25.4734,3348.1304,2.466998
25.5234,1255.6924,0.925230
25.5734,-1010.6439,0.744671
25.6234,-2913.6292,2.146845
25.6734,-4023.2048,2.964412
25.7234,-4564.3496,3.363143
25.7734,-4990.3271,3.677015
25.8234,-5123.7607,3.775333
25.8734,-4654.4370,3.429522
25.9234,-3909.6401,2.880734
25.9734,-3312.2141,2.440534
26.0234,-2592.9526,1.910561
26.0734,-1159.3728,0.854259
26.1234,1262.0183,0.929891
26.1734,4198.7783,3.093779
26.2234,6582.0396,4.849834
26.2734,8229.2227,6.063525
26.3234,10196.7285,7.513240
26.3734,12655.1426,9.324669
26.4234,14866.7148,10.954218
26.4734,16897.3086,12.450418
26.5234,18865.8477,13.900893
26.5734,20356.3887,14.999166
26.6234,21307.8066,15.700198
