# ABAQUS Dynamic Analysis - Stress History at Element 1 Base 
# Variable: SM2 
time_s,SM2_Nm,sigma_bending_MPa 
150.4734,10507.2900,7.742070
150.5234,9909.0908,7.301300
150.5734,9048.3135,6.667055
150.6234,8756.2500,6.451854
150.6734,8804.8691,6.487678
150.7234,8490.3975,6.255966
150.7734,8052.7891,5.933524
150.8234,7866.1875,5.796031
150.8734,7736.1240,5.700196
150.9234,7510.7534,5.534137
150.9734,7489.8110,5.518706
151.0234,7874.2295,5.801956
151.0734,8276.7227,6.098525
151.1234,8359.5693,6.159568
151.1734,8322.5840,6.132317
151.2234,8715.0801,6.421519
151.2734,9963.4189,7.341330
151.3234,11439.5391,8.428978
151.3734,12102.9365,8.917788
151.4234,12072.7412,8.895539
151.4734,12195.1992,8.985770
151.5234,13091.3379,9.646070
151.5734,14537.0098,10.711282
151.6234,15390.4316,11.340108
151.6734,15427.9385,11.367744
151.7234,15656.6289,11.536249
151.7734,16101.1963,11.863819
151.8234,16205.7988,11.940893
151.8734,16283.4980,11.998144
151.9234,16578.4590,12.215480
151.9734,16817.8926,12.391902
152.0234,16759.8496,12.349134
152.0734,16260.7979,11.981418
152.1234,15166.1104,11.174821
152.1734,13566.9277,9.996498
152.2234,12248.6475,9.025152
152.2734,11762.2871,8.666788
152.3234,11348.4150,8.361835
152.3734,10341.8604,7.620177
152.4234,9190.2617,6.771646
152.4734,8214.8818,6.052959
152.5234,7428.3564,5.473424
152.5734,7004.2153,5.160905
152.6234,6644.4502,4.895820
152.6734,5802.5479,4.275482
152.7234,4696.7422,3.460693
152.7734,4243.7720,3.126932
152.8234,4776.5986,3.519534
152.8734,5411.4434,3.987305
152.9234,5346.1729,3.939212
152.9734,5085.5684,3.747191
153.0234,5490.3037,4.045412
153.0734,6249.2998,4.604662
153.1234,6717.6313,4.949742
153.1734,7048.7070,5.193688
153.2234,7481.1421,5.512318
153.2734,7921.3276,5.836659
153.3234,8342.5576,6.147034
153.3734,8804.0576,6.487080
153.4234,9152.3877,6.743740
153.4734,9462.4512,6.972203
153.5234,9915.5527,7.306061
153.5734,10028.0811,7.388975
153.6234,9580.5820,7.059245
153.6734,9053.6016,6.670951
153.7234,8622.4619,6.353275
153.7734,8244.0010,6.074414
153.8234,7983.3730,5.882376
153.8734,7665.1665,5.647913
153.9234,6943.2988,5.116020
153.9734,6023.9565,4.438623
154.0234,5507.9751,4.058433
154.0734,5284.7729,3.893971
154.1234,4742.0171,3.494053
154.1734,3712.8152,2.735708
154.2234,2829.0974,2.084559
154.2734,2932.6602,2.160867
154.3234,3621.2537,2.668243
154.3734,3849.1047,2.836130
154.4234,3517.1121,2.591508
154.4734,3025.7693,2.229473
154.5234,2816.4634,2.075250
154.5734,3154.2200,2.324119
154.6234,3823.7847,2.817473
154.6734,4564.0679,3.362935
154.7234,5203.2300,3.833888
154.7734,5658.3613,4.169242
154.8234,6098.2534,4.493367
154.8734,6727.4492,4.956976
154.9234,7543.3975,5.558190
154.9734,8358.2803,6.158619
155.0234,8930.8438,6.580500
155.0734,9186.8643,6.769143
155.1234,9430.1689,6.948417
155.1734,9898.0957,7.293198
155.2234,10306.7822,7.594330
155.2734,10423.0029,7.679965
155.3234,10458.4785,7.706104
155.3734,10615.7822,7.822010
155.4234,10705.7900,7.888331
155.4734,10440.3906,7.692777
155.5234,10055.3438,7.409063
155.5734,9922.8125,7.311410
155.6234,9877.6992,7.278170
155.6734,9791.6729,7.214783
155.7234,9530.5391,7.022372
155.7734,8716.0469,6.422231
155.8234,7987.0186,5.885062
155.8734,8326.9336,6.135521
155.9234,9007.1543,6.636727
155.9734,8764.4990,6.457932
156.0234,7844.8442,5.780304
156.0734,7295.3062,5.375389
156.1234,7543.0454,5.557930
156.1734,8251.3623,6.079838
156.2234,8691.9023,6.404441
156.2734,8429.7275,6.211263
156.3234,7945.4736,5.854451
156.3734,8084.4307,5.956838
156.4234,8822.1416,6.500405
156.4734,9130.6611,6.727731
156.5234,8600.8291,6.337335
156.5734,8078.7651,5.952664
156.6234,8044.3950,5.927339
156.6734,8153.6802,6.007863
156.7234,8199.5137,6.041635
156.7734,8038.2319,5.922798
156.8234,7399.2939,5.452010
156.8734,6580.5098,4.848707
156.9234,6281.2803,4.628226
156.9734,6370.6343,4.694065
157.0234,6264.1260,4.615586
157.0734,5857.3818,4.315886
157.1234,5262.9419,3.877885
157.1734,4790.6279,3.529871
157.2234,4738.9829,3.491817
157.2734,4806.7393,3.541742
157.3234,4356.6147,3.210078
157.3734,3556.2908,2.620376
157.4234,3238.5779,2.386276
157.4734,3435.7830,2.531583
157.5234,3543.8171,2.611185
157.5734,3444.2385,2.537813
157.6234,3468.6421,2.555794
157.6734,3637.2241,2.680010
157.7234,3680.8633,2.712165
157.7734,3612.0520,2.661463
157.8234,3522.5894,2.595544
157.8734,3321.4065,2.447307
157.9234,3089.9587,2.276769
157.9734,2975.9543,2.192768
158.0234,2947.4365,2.171755
158.0734,3003.6624,2.213184
158.1234,3054.6809,2.250776
158.1734,2881.5398,2.123200
158.2234,2486.0979,1.831828
158.2734,2117.6655,1.560356
158.3234,1939.7200,1.429241
158.3734,1875.0272,1.381573
158.4234,1781.0166,1.312304
158.4734,1588.6178,1.170539
158.5234,1374.1248,1.012494
158.5734,1352.6462,0.996668
158.6234,1610.5586,1.186705
158.6734,1966.7856,1.449184
158.7234,2184.1199,1.609322
158.7734,2262.8257,1.667314
158.8234,2437.4175,1.795959
158.8734,2843.2529,2.094990
158.9234,3403.9128,2.508100
158.9734,3945.0198,2.906803
159.0234,4362.4854,3.214403
159.0734,4736.5093,3.489995
159.1234,5220.9253,3.846926
159.1734,5933.0513,4.371641
159.2234,6700.2012,4.936899
159.2734,7195.3306,5.301724
159.3234,7583.4824,5.587726
159.3734,7943.4419,5.852954
159.4234,7937.7559,5.848764
159.4734,8009.9326,5.901946
159.5234,8667.9990,6.386828
159.5734,9263.2070,6.825394
159.6234,9361.6426,6.897924
159.6734,9396.2705,6.923439
159.7234,9793.2021,7.215910
159.7734,10564.3379,7.784105
159.8234,11177.8232,8.236138
159.8734,10974.8398,8.086574
159.9234,9966.2773,7.343437
159.9734,9217.5889,6.791782
160.0234,9703.1816,7.149580
160.0734,10728.9404,7.905388
160.1234,11056.0889,8.146441
160.1734,11034.8467,8.130789
160.2234,11583.0244,8.534702
160.2734,11928.4902,8.789251
160.3234,11155.2822,8.219529
160.3734,10396.8096,7.660665
160.4234,10802.7393,7.959766
160.4734,11468.0703,8.450000
160.5234,11298.4707,8.325035
160.5734,10912.4307,8.040589
160.6234,11037.4102,8.132678
160.6734,11289.3975,8.318349
160.7234,11324.2900,8.344059
160.7734,11233.5371,8.277190
160.8234,11001.5664,8.106267
160.8734,10456.5938,7.704716
160.9234,9753.3340,7.186534
160.9734,9512.6846,7.009217
161.0234,9782.6914,7.208165
161.0734,9745.1816,7.180527
161.1234,9408.3936,6.932372
161.1734,9596.1719,7.070732
161.2234,9781.3457,7.207174
161.2734,8773.8789,6.464844
161.3234,7374.9629,5.434082
161.3734,7259.7095,5.349160
161.4234,8304.3594,6.118888
161.4734,9165.6367,6.753502
161.5234,8988.2100,6.622769
161.5734,8189.6548,6.034371
161.6234,7950.5244,5.858173
161.6734,8453.2236,6.228576
161.7234,8589.6709,6.329114
161.7734,7976.5601,5.877356
161.8234,7739.1611,5.702434
161.8734,8578.3877,6.320800
161.9234,9657.9082,7.116221
161.9734,9897.8350,7.293006
162.0234,9328.8652,6.873773
162.0734,8877.0459,6.540860
162.1234,9112.9365,6.714671
162.1734,9597.6787,7.071843
162.2234,9565.9434,7.048459
162.2734,8935.4863,6.583920
162.3234,8382.0762,6.176152
162.3734,8412.4766,6.198552
162.4234,8832.8887,6.508324
162.4734,9077.9883,6.688920
162.5234,8588.7148,6.328409
162.5734,7625.1094,5.618397
162.6234,7176.0640,5.287528
162.6734,7348.1294,5.414311
162.7234,7413.7490,5.462661
162.7734,7114.3560,5.242060
162.8234,6628.5103,4.884075
162.8734,6198.1997,4.567010
162.9234,6305.6279,4.646166
162.9734,6928.3662,5.105017
163.0234,7029.5151,5.179547
163.0734,6375.0200,4.697296
163.1234,6279.7075,4.627067
163.1734,7373.6035,5.433081
163.2234,8445.5186,6.222898
163.2734,8578.4102,6.320817
163.3234,8707.8936,6.416224
163.3734,9961.5811,7.339976
163.4234,11628.1641,8.567962
163.4734,12051.3984,8.879813
163.5234,11466.8730,8.449118
163.5734,11572.7334,8.527119
163.6234,12687.2012,9.348291
163.6734,13660.1797,10.065209
163.7234,13864.3115,10.215619
163.7734,13846.2842,10.202336
163.8234,13956.0391,10.283206
163.8734,13782.4941,10.155334
163.9234,13297.3955,9.797899
163.9734,12930.6426,9.527665
164.0234,12685.4424,9.346995
164.0734,12216.2539,9.001283
164.1234,11235.3916,8.278556
164.1734,9892.8906,7.289363
164.2234,8623.1250,6.353764
164.2734,7580.2603,5.585351
164.3234,6693.9673,4.932305
164.3734,5758.5996,4.243100
164.4234,4679.6050,3.448066
164.4734,3561.5337,2.624239
164.5234,2428.5188,1.789402
164.5734,1515.1381,1.116397
164.6234,1151.3394,0.848340
164.6734,1080.0397,0.795804
164.7234,916.7969,0.675522
164.7734,918.1429,0.676514
164.8234,1302.4314,0.959668
164.8734,1852.0619,1.364652
164.9234,2684.5459,1.978050
164.9734,3968.2332,2.923907
165.0234,5189.8193,3.824006
165.0734,6126.0156,4.513823
165.1234,7521.9966,5.542421
165.1734,9617.9365,7.086769
165.2234,11478.5918,8.457753
165.2734,12513.7236,9.220467
165.3234,13397.4893,9.871651
165.3734,14763.2334,10.877970
165.4234,16212.8926,11.946120
165.4734,17382.6680,12.808044
165.5234,18312.3867,13.493087
165.5734,18922.5879,13.942701
165.6234,19267.7148,14.197000
165.6734,19398.8809,14.293647
165.7234,19019.3125,14.013970
165.7734,18273.9160,13.464741
165.8234,17640.9512,12.998355
165.8734,16652.2012,12.269815
165.9234,14893.4375,10.973908
165.9734,13156.7451,9.694264
166.0234,11994.3174,8.837754
166.0734,10960.7812,8.076215
166.1234,9607.8643,7.079348
166.1734,7852.0977,5.785649
166.2234,5695.4980,4.196605
166.2734,3694.7515,2.722398
166.3234,2523.2498,1.859202
166.3734,1775.0168,1.307883
166.4234,829.5726,0.611253
166.4734,-79.1773,0.058340
166.5234,-520.6604,0.383637
166.5734,-723.7751,0.533298
166.6234,-1018.2002,0.750239
166.6734,-938.9978,0.691880
166.7234,-70.1318,0.051675
166.7734,973.1672,0.717057
166.8234,1452.9305,1.070561
166.8734,1816.7150,1.338607
166.9234,3143.0762,2.315908
166.9734,5288.7207,3.896880
167.0234,6895.4380,5.080755
167.0734,7531.6533,5.549536
167.1234,8093.6475,5.963630
167.1734,9191.8799,6.772839
167.2234,10509.5332,7.743723
167.2734,11548.9482,8.509594
167.3234,12196.7793,8.986934
167.3734,12535.3887,9.236431
167.4234,12756.2617,9.399176
167.4734,12914.6348,9.515870
167.5234,12813.5215,9.441367
167.5734,12522.5137,9.226944
167.6234,12272.6035,9.042803
167.6734,11802.0586,8.696092
167.7234,10737.3330,7.911572
167.7734,9339.6094,6.881690
167.8234,8083.3857,5.956069
167.8734,7061.5479,5.203149
167.9234,6032.7031,4.445067
167.9734,4724.7358,3.481320
168.0234,3228.4634,2.378824
168.0734,2056.8962,1.515580
168.1234,1366.4177,1.006815
168.1734,721.7932,0.531838
168.2234,-34.5770,0.025477
168.2734,-696.5829,0.513262
168.3234,-1088.7134,0.802195
168.3734,-1150.9402,0.848045
168.4234,-939.2153,0.692041
168.4734,-482.2169,0.355311
168.5234,106.3244,0.078343
168.5734,769.6816,0.567123
168.6234,1668.3334,1.229275
168.6734,2682.5527,1.976581
168.7234,3788.5857,2.791538
168.7734,5345.8677,3.938987
168.8234,7080.7808,5.217321
168.8734,8400.0322,6.189383
168.9234,9424.1338,6.943970
168.9734,10565.3340,7.784839
169.0234,11882.6211,8.755453
169.0734,13087.3633,9.643141
169.1234,13846.7422,10.202673
169.1734,14150.4355,10.426443
169.2234,14285.5742,10.526017
169.2734,14180.2764,10.448431
169.3234,13643.9521,10.053252
169.3734,13038.6309,9.607234
169.4234,12500.0098,9.210363
169.4734,11729.9873,8.642988
169.5234,10541.7021,7.767426
169.5734,8980.4580,6.617057
169.6234,7465.6787,5.500924
169.6734,6142.0366,4.525627
169.7234,4688.3906,3.454540
169.7734,3201.7417,2.359134
169.8234,1897.5225,1.398149
169.8734,604.3935,0.445334
169.9234,-524.2886,0.386311
169.9734,-1244.1932,0.916757
170.0234,-1806.8818,1.331362
170.0734,-2148.7856,1.583286
170.1234,-2008.3390,1.479801
170.1734,-1705.2267,1.256460
170.2234,-1429.8424,1.053549
170.2734,-1016.7106,0.749141
170.3234,-538.3090,0.396641
170.3734,155.0366,0.114235
170.4234,1589.5155,1.171200
170.4734,3530.5791,2.601431
170.5234,4925.6167,3.629334
170.5734,5597.7812,4.124604
170.6234,6559.1274,4.832952
170.6734,8069.8716,5.946111
170.7234,9222.5859,6.795464
170.7734,9594.4502,7.069464
170.8234,9647.2051,7.108335
170.8734,9913.4619,7.304521
170.9234,10332.6699,7.613405
170.9734,10398.5342,7.661936
171.0234,9978.6729,7.352570
171.0734,9314.0645,6.862868
171.1234,8551.6250,6.301081
171.1734,7713.3828,5.683440
171.2234,6685.1470,4.925806
171.2734,5429.4653,4.000584
171.3234,4190.9189,3.087988
171.3734,3146.8203,2.318667
171.4234,2157.7991,1.589928
171.4734,1021.7064,0.752822
171.5234,-137.5996,0.101387
171.5734,-1061.8240,0.782382
171.6234,-1662.1658,1.224731
171.6734,-1906.9106,1.405066
171.7234,-1972.9880,1.453754
171.7734,-2137.0925,1.574671
171.8234,-2211.9106,1.629799
171.8734,-1665.7848,1.227398
171.9234,-533.1443,0.392836
171.9734,601.7574,0.443392
172.0234,1567.6240,1.155070
172.0734,2546.8533,1.876594
172.1234,3677.3914,2.709607
172.1734,4967.9141,3.660500
172.2234,6316.7612,4.654369
172.2734,7765.3296,5.721716
172.3234,9212.4160,6.787970
172.3734,10454.7578,7.703363
172.4234,11430.4922,8.422312
172.4734,12084.1836,8.903970
172.5234,12696.8389,9.355392
172.5734,13520.0859,9.961984
172.6234,14088.8896,10.381095
172.6734,14016.4863,10.327746
172.7234,13646.4482,10.055091
172.7734,13331.4795,9.823013
172.8234,12980.3398,9.564284
172.8734,12344.7432,9.095958
172.9234,11526.7744,8.493255
172.9734,10771.2480,7.936562
173.0234,9947.5156,7.329612
173.0734,8787.8311,6.475124
173.1234,7225.8960,5.324246
173.1734,5768.0645,4.250074
173.2234,4907.4990,3.615985
173.2734,4367.4819,3.218085
173.3234,3812.9390,2.809482
173.3734,3207.9065,2.363677
173.4234,2563.3555,1.888753
173.4734,2033.9355,1.498662
173.5234,1781.8831,1.312942
173.5734,1666.5846,1.227987
173.6234,1527.1525,1.125249
173.6734,1645.3588,1.212347
173.7234,2337.1377,1.722070
173.7734,3332.4094,2.455414
173.8234,4247.8896,3.129966
173.8734,4945.9434,3.644312
173.9234,5360.7842,3.949978
173.9734,5774.4927,4.254810
174.0234,6480.2637,4.774843
174.0734,7347.5649,5.413895
174.1234,8133.1289,5.992721
174.1734,8843.2773,6.515978
174.2234,9761.3467,7.192438
174.2734,10802.7725,7.959790
174.3234,11335.1289,8.352045
174.3734,11177.3086,8.235759
174.4234,10835.6201,7.983993
174.4734,10573.1387,7.790589
174.5234,10362.8203,7.635621
174.5734,10142.6592,7.473400
174.6234,9637.0234,7.100833
174.6734,8922.8516,6.574611
174.7234,8306.1055,6.120175
174.7734,7560.9688,5.571137
174.8234,6593.7451,4.858459
174.8734,5645.7720,4.159965
174.9234,4611.7476,3.398067
174.9734,3452.4875,2.543891
175.0234,2496.1226,1.839214
175.0734,1855.2871,1.367028
175.1234,1279.2822,0.942612
175.1734,531.4745,0.391606
175.2234,-365.6379,0.269412
175.2734,-1058.0070,0.779570
175.3234,-1214.8292,0.895121
175.3734,-1003.2534,0.739226
175.4234,-764.4171,0.563244
175.4734,-654.7024,0.482403
175.5234,-595.5442,0.438814
175.5734,-117.1960,0.086353
175.6234,933.0082,0.687467
175.6734,1987.6899,1.464586
175.7234,2843.7639,2.095366
175.7734,3831.6162,2.823244
175.8234,4931.1143,3.633385
175.8734,5856.5698,4.315287
175.9234,6575.0527,4.844686
175.9734,7442.7446,5.484026
176.0234,8648.0127,6.372102
176.0734,9608.1309,7.079544
176.1234,9916.0410,7.306421
176.1734,10101.9863,7.443431
176.2234,10658.1797,7.853250
176.2734,11310.8545,8.334159
176.3234,11481.7256,8.460062
176.3734,11017.2783,8.117844
176.4234,10508.7100,7.743116
176.4734,10390.1221,7.655737
176.5234,10134.0049,7.467023
176.5734,9524.7080,7.018076
176.6234,9024.4834,6.649496
176.6734,8517.4639,6.275910
176.7234,7747.6094,5.708659
176.7734,6957.7661,5.126680
176.8234,6228.4033,4.589265
176.8734,5396.4883,3.976286
176.9234,4726.7842,3.482829
176.9734,4648.9209,3.425457
177.0234,4742.8589,3.494673
177.0734,4397.3057,3.240060
177.1234,3972.7334,2.927223
177.1734,4077.8079,3.004645
177.2234,4575.7812,3.371566
177.2734,4969.2114,3.661456
177.3234,5344.5107,3.937988
177.3734,5961.4116,4.392538
177.4234,6426.5664,4.735277
177.4734,6607.7827,4.868802
177.5234,7037.9551,5.185765
177.5734,7910.4092,5.828614
177.6234,8914.7520,6.568643
177.6734,9736.4902,7.174123
177.7234,10231.3525,7.538752
177.7734,10365.2607,7.637419
177.8234,10317.1455,7.601966
177.8734,10242.1172,7.546683
177.9234,10001.3105,7.369250
177.9734,9677.3262,7.130529
178.0234,9520.2754,7.014810
178.0734,9460.4697,6.970743
178.1234,9165.3340,6.753279
178.1734,8404.5674,6.192724
178.2234,7399.5869,5.452226
178.2734,6448.7954,4.751656
178.3234,5576.4087,4.108857
178.3734,4726.0137,3.482261
178.4234,3927.8428,2.894146
178.4734,3220.8081,2.373183
178.5234,2368.6296,1.745274
178.5734,1381.9773,1.018280
178.6234,746.4117,0.549977
178.6734,545.3965,0.401864
178.7234,438.7869,0.323311
178.7734,206.2191,0.151948
178.8234,68.7307,0.050643
178.8734,443.2728,0.326616
178.9234,1081.0006,0.796512
178.9734,1377.9305,1.015298
179.0234,1547.0956,1.139944
179.0734,2217.9312,1.634235
179.1234,3227.6172,2.378200
179.1734,4013.1714,2.957019
179.2234,4461.4072,3.287292
179.2734,4937.5806,3.638150
179.3234,5770.5728,4.251922
179.3734,6577.1528,4.846233
179.4234,6894.0186,5.079709
179.4734,7057.3125,5.200029
179.5234,7521.9697,5.542401
179.5734,8120.2954,5.983265
179.6234,8289.5918,6.108007
179.6734,7810.0776,5.754687
179.7234,7168.4126,5.281890
179.7734,6931.4150,5.107264
179.8234,7058.1636,5.200656
179.8734,6853.3398,5.049736
179.9234,5964.5244,4.394831
179.9734,5144.3931,3.790535
180.0234,4712.6108,3.472386
180.0734,3940.0935,2.903173
180.1234,2839.6118,2.092307
180.1734,2041.2494,1.504051
180.2234,1564.4968,1.152766
180.2734,1242.0817,0.915201
180.3234,985.7113,0.726300
180.3734,619.8361,0.456713
180.4234,264.0790,0.194581
180.4734,213.2331,0.157116
180.5234,378.8238,0.279128
180.5734,543.6138,0.400550
180.6234,746.5685,0.550093
180.6734,1041.1047,0.767116
180.7234,1406.3799,1.036261
180.7734,1853.2275,1.365511
180.8234,2358.1541,1.737555
180.8734,2835.9600,2.089616
180.9234,3252.5852,2.396597
180.9734,3667.4924,2.702313
181.0234,4103.7051,3.023727
181.0734,4600.0879,3.389476
181.1234,5214.4219,3.842134
181.1734,5712.1001,4.208838
181.2234,5771.9883,4.252965
181.2734,5465.8389,4.027386
181.3234,5084.3555,3.746298
181.3734,4763.4736,3.509863
181.4234,4455.1689,3.282695
181.4734,4063.3181,2.993968
181.5234,3499.1458,2.578270
181.5734,2799.0425,2.062414
181.6234,2169.7036,1.598699
181.6734,1761.0916,1.297622
181.7234,1461.1854,1.076643
181.7734,968.9489,0.713949
181.8234,231.6733,0.170703
181.8734,-433.0224,0.319063
181.9234,-883.3322,0.650864
181.9734,-1167.3307,0.860122
182.0234,-1125.2949,0.829149
182.0734,-701.4312,0.516834
182.1234,-199.9489,0.147328
182.1734,124.4293,0.091683
182.2234,437.5124,0.322372
182.2734,1107.9634,0.816379
182.3234,2217.3782,1.633827
182.3734,3331.6836,2.454879
182.4234,3950.7300,2.911010
182.4734,4351.7329,3.206481
182.5234,5207.4805,3.837020
182.5734,6474.7993,4.770816
182.6234,7468.6138,5.503087
182.6734,7838.5737,5.775684
182.7234,8069.8955,5.946129
182.7734,8558.6572,6.306262
182.8234,8885.5088,6.547096
182.8734,8754.1279,6.450290
182.9234,8429.2549,6.210915
182.9734,8052.2280,5.933111
183.0234,7543.0679,5.557947
183.0734,6906.0698,5.088589
183.1234,6208.2544,4.574418
183.1734,5449.1245,4.015070
183.2234,4574.0186,3.370267
183.2734,3582.1899,2.639459
183.3234,2602.7378,1.917771
183.3734,1766.9005,1.301903
183.4234,1007.9382,0.742678
183.4734,359.4904,0.264883
183.5234,41.9904,0.030940
183.5734,-61.5014,0.045316
183.6234,-220.9928,0.162834
183.6734,-251.5616,0.185358
183.7234,74.0069,0.054530
183.7734,492.4693,0.362865
183.8234,921.9977,0.679354
183.8734,1722.8564,1.269450
183.9234,2832.0610,2.086743
183.9734,3718.5967,2.739968
184.0234,4323.5503,3.185715
184.0734,5144.6479,3.790723
184.1234,6263.5640,4.615172
184.1734,7234.4961,5.330582
184.2234,7978.0156,5.878429
184.2734,8811.9785,6.492916
184.3234,9652.0742,7.111923
184.3734,10088.8066,7.433720
184.4234,10144.4170,7.474695
184.4734,10122.0371,7.458205
184.5234,10078.0674,7.425807
184.5734,9894.9600,7.290888
184.6234,9389.7832,6.918659
184.6734,8534.1787,6.288226
184.7234,7654.1738,5.639813
184.7734,6889.8374,5.076628
184.8234,5931.2783,4.370335
184.8734,4703.1182,3.465391
184.9234,3600.6855,2.653088
184.9734,2738.7415,2.017983
185.0234,1817.4259,1.339131
185.0734,859.1088,0.633016
185.1234,120.0961,0.088490
185.1734,-555.7056,0.409460
185.2234,-1355.7140,0.998929
185.2734,-1846.1901,1.360325
185.3234,-1674.6520,1.233931
185.3734,-1274.6627,0.939208
185.4234,-1075.6735,0.792587
185.4734,-929.1152,0.684598
185.5234,-520.0411,0.383181
185.5734,230.7557,0.170027
185.6234,1137.1188,0.837861
185.6734,2267.6042,1.670835
185.7234,3745.5647,2.759839
185.7734,5097.3022,3.755837
185.8234,6080.9585,4.480623
185.8734,7276.6270,5.361626
185.9234,8836.8398,6.511235
185.9734,10017.9580,7.381516
186.0234,10527.3848,7.756876
186.0734,11059.0713,8.148638
186.1234,12118.3271,8.929128
186.1734,13031.7168,9.602140
186.2234,13029.9688,9.600852
186.2734,12546.6377,9.244719
186.3234,12296.9346,9.060731
186.3734,12240.0332,9.018805
186.4234,11955.3926,8.809073
186.4734,11282.9326,8.313586
186.5234,10303.7480,7.592095
186.5734,8963.9248,6.604875
186.6234,7559.9209,5.570365
186.6734,6655.6440,4.904068
186.7234,5803.9761,4.276535
186.7734,4260.2163,3.139049
186.8234,2507.4436,1.847556
186.8734,1394.2806,1.027346
186.9234,875.0369,0.644752
186.9734,453.3459,0.334038
187.0234,-9.3466,0.006887
187.0734,-405.8912,0.299072
187.1234,-622.3270,0.458548
187.1734,-475.4331,0.350313
187.2234,76.9722,0.056715
187.2734,686.7114,0.505989
187.3234,1122.7140,0.827248
187.3734,1763.5681,1.299447
187.4234,2797.1179,2.060996
187.4734,3879.9346,2.858846
187.5234,4873.3604,3.590831
187.5734,5969.0039,4.398132
187.6234,7204.6948,5.308624
187.6734,8240.8564,6.072097
187.7234,8930.3398,6.580128
187.7734,9544.4287,7.032607
187.8234,10217.8652,7.528814
187.8734,10673.2021,7.864319
187.9234,10552.4805,7.775368
187.9734,10167.4199,7.491644
188.0234,10060.1055,7.412572
188.0734,9906.1670,7.299146
188.1234,9350.1553,6.889460
188.1734,8701.8682,6.411784
188.2234,8003.0879,5.896903
188.2734,7348.4756,5.414566
188.3234,7103.3838,5.233975
188.3734,6788.2388,5.001767
188.4234,5905.3828,4.351254
188.4734,5242.2495,3.862639
188.5234,5438.1626,4.006993
188.5734,5615.4849,4.137649
188.6234,5066.4995,3.733141
188.6734,4510.3164,3.323329
188.7234,4802.0234,3.538267
188.7734,5881.8901,4.333944
188.8234,6824.1016,5.028192
188.8734,7012.7617,5.167202
188.9234,7049.4731,5.194252
188.9734,7570.1895,5.577931
189.0234,8414.5684,6.200093
189.0734,9239.8271,6.808167
189.1234,9884.6875,7.283319
189.1734,10380.2754,7.648482
189.2234,10674.0957,7.864977
189.2734,10619.6924,7.824891
189.3234,10602.7588,7.812414
189.3734,10935.4824,8.057574
189.4234,10937.6670,8.059184
189.4734,10146.7939,7.476446
189.5234,9172.1660,6.758313
189.5734,8738.2803,6.438613
189.6234,8759.7441,6.454429
189.6734,8403.0947,6.191639
189.7234,7321.5981,5.394762
189.7734,6068.7085,4.471597
189.8234,5151.7485,3.795955
189.8734,4699.6279,3.462820
189.9234,4355.9893,3.209617
189.9734,3659.1565,2.696171
190.0234,2831.4927,2.086324
190.0734,2395.5779,1.765130
190.1234,2458.5852,1.811556
190.1734,2504.3303,1.845262
190.2234,2174.0439,1.601897
190.2734,2093.4980,1.542549
190.3234,2772.9053,2.043155
190.3734,3621.9788,2.668777
190.4234,3993.1887,2.942295
190.4734,4203.6104,3.097340
190.5234,4853.1050,3.575906
190.5734,5787.0020,4.264028
190.6234,6504.0938,4.792401
190.6734,6980.8086,5.143658
190.7234,7578.9038,5.584352
190.7734,8323.6465,6.133099
190.8234,8789.5020,6.476355
190.8734,9008.3281,6.637592
190.9234,9334.8604,6.878191
190.9734,9605.5645,7.077653
191.0234,9468.6797,6.976792
191.0734,9012.4248,6.640611
191.1234,8662.6680,6.382900
191.1734,8540.1260,6.292608
191.2234,8327.0322,6.135594
191.2734,7897.8486,5.819359
191.3234,7417.7295,5.465594
191.3734,6921.7656,5.100154
191.4234,6451.0239,4.753298
191.4734,6118.3193,4.508152
191.5234,5772.4478,4.253304
191.5734,5275.6748,3.887267
191.6234,5014.7583,3.695017
191.6734,5270.8145,3.883686
191.7234,5614.2803,4.136761
191.7734,5737.1841,4.227320
191.8234,5831.3032,4.296670
191.8734,6136.2246,4.521345
191.9234,6759.8789,4.980871
191.9734,7686.3560,5.663526
192.0234,8911.1377,6.565980
192.0734,10002.5537,7.370166
192.1234,10206.3613,7.520337
192.1734,9858.8848,7.264307
192.2234,10023.2314,7.385402
192.2734,10737.9697,7.912041
192.3234,11322.4912,8.342734
192.3734,11584.1494,8.535531
192.4234,11548.0332,8.508919
192.4734,11090.6416,8.171900
192.5234,10414.2178,7.673492
192.5734,9811.3076,7.229250
192.6234,9244.9062,6.811910
192.6734,8688.0488,6.401601
192.7234,8084.0093,5.956528
192.7734,7249.8877,5.341923
192.8234,6200.2041,4.568487
192.8734,5084.8530,3.746664
192.9234,4066.4968,2.996311
192.9734,3409.4182,2.512156
193.0234,3237.4365,2.385435
193.0734,3063.0010,2.256906
193.1234,2577.8586,1.899440
193.1734,2250.5933,1.658301
193.2234,2259.5510,1.664901
193.2734,2580.9128,1.901690
193.3234,3251.5549,2.395838
193.3734,3891.3147,2.867231
193.4234,4578.2949,3.373418
193.4734,5725.0625,4.218389
193.5234,6829.0645,5.031849
193.5734,7444.5977,5.485391
193.6234,8121.5410,5.984182
193.6734,9188.6494,6.770458
193.7234,10313.9160,7.599587
193.7734,11317.3643,8.338956
193.8234,11906.2324,8.772851
193.8734,11669.0605,8.598096
193.9234,11080.2578,8.164249
193.9734,10800.8574,7.958379
