# ABAQUS Dynamic Analysis - Stress History
# ODB: tree_H6m_DBH25cm.odb
# f1=1.0560 Hz  U1_tip_max=0.0000 m  U2_tip_max=0.0000 m
# sigma_max_SM2=8.689 MPa  sigma_max_Mres=8.731 MPa
# DAF_SM2=0.483  DAF_Mres=0.485
time_s,SM1_Nm,SM2_Nm,Mres_Nm,sigma_bending_MPa
0.0000,0.0000,0.0000,0.0000,0.000000
0.0500,17.4142,130.4859,131.6428,0.049663
0.1000,111.5155,857.8816,865.0992,0.326364
0.1500,268.9538,2181.8738,2198.3879,0.829355
0.2000,375.6829,3468.8096,3489.0941,1.316282
0.2500,375.2626,4814.9062,4829.5077,1.821962
0.3000,247.3095,6359.1890,6363.9961,2.400857
0.3500,-6.1729,7578.4072,7578.4097,2.859002
0.4000,-346.6266,8355.2607,8362.4477,3.154785
0.4500,-717.6288,8830.6250,8859.7364,3.342390
0.5000,-1021.7828,8829.6592,8888.5838,3.353273
0.5500,-1169.1051,8220.8271,8303.5418,3.132562
0.6000,-1077.5703,7243.6875,7323.3986,2.762797
0.6500,-751.8445,5999.6304,6046.5556,2.281100
0.7000,-302.2345,4354.2290,4364.7057,1.646612
0.7500,250.5617,2576.2505,2588.4064,0.976492
0.8000,939.9357,1075.5511,1428.3870,0.538868
0.8500,1681.5675,-147.4763,1688.0221,0.636817
0.9000,2395.2559,-1125.9719,2646.7080,0.998487
0.9500,3067.7607,-1678.3202,3496.8435,1.319206
1.0000,3615.3909,-1753.2296,4018.0673,1.515841
1.0500,3952.5691,-1400.2371,4193.2644,1.581935
1.1000,4041.4980,-574.2464,4082.0908,1.539994
1.1500,3825.8455,664.0168,3883.0416,1.464901
1.2000,3288.7659,2107.4282,3906.0510,1.473582
1.2500,2506.5222,3608.3606,4393.5088,1.657478
1.3000,1564.8746,5053.3442,5290.0965,1.995721
1.3500,491.7131,6321.7563,6340.8505,2.392125
1.4000,-627.8184,7306.3413,7333.2652,2.766519
1.4500,-1657.5068,7931.4692,8102.8102,3.056835
1.5000,-2522.0920,8186.2139,8565.9235,3.231547
1.5500,-3112.1548,8032.7720,8614.5768,3.249902
1.6000,-3295.2844,7430.6533,8128.5613,3.066550
1.6500,-3080.3850,6483.6196,7178.1680,2.708008
1.7000,-2566.2217,5352.9478,5936.2904,2.239502
1.7500,-1841.1222,4138.5996,4529.6509,1.708839
1.8000,-1012.9306,3002.5342,3168.7916,1.195446
1.8500,-178.8611,2164.5974,2171.9745,0.819391
1.9000,596.6762,1649.0690,1753.6964,0.661593
1.9500,1239.1539,1386.0851,1859.2295,0.701406
