# ABAQUS Dynamic Analysis - Stress History
# ODB: tree_H6m_DBH20cm.odb
# f1=0.7591 Hz  U1_tip_max=0.0000 m  U2_tip_max=0.0000 m
# sigma_max_SM2=18.395 MPa  sigma_max_Mres=19.368 MPa
# DAF_SM2=1.022  DAF_Mres=1.076
time_s,SM1_Nm,SM2_Nm,Mres_Nm,sigma_bending_MPa
0.0000,0.0000,0.0000,0.0000,0.000000
0.0500,5.4717,41.0002,41.3637,0.030478
0.1000,48.6390,371.4585,374.6293,0.276038
0.1500,142.7040,1139.0388,1147.9433,0.845837
0.2000,225.2861,1986.6301,1999.3632,1.473188
0.2500,244.5977,2801.5857,2812.2430,2.072141
0.3000,198.7233,3854.8762,3859.9950,2.844154
0.3500,97.2095,5020.6064,5021.5474,3.700019
0.4000,-53.6802,6036.0620,6036.3007,4.447718
0.4500,-248.8449,6912.3413,6916.8191,5.096509
0.5000,-440.2807,7727.9546,7740.4864,5.703410
0.5500,-573.3780,8359.1621,8378.8038,6.173741
0.6000,-614.8413,8671.2080,8692.9787,6.405234
0.6500,-553.3405,8740.9941,8758.4910,6.453505
0.7000,-431.9513,8546.7139,8557.6223,6.305500
0.7500,-264.1617,7993.9688,7998.3322,5.893399
0.8000,2.8033,7201.6299,7201.6304,5.306366
0.8500,372.6080,6289.8574,6300.8843,4.642671
0.9000,800.0635,5190.3711,5251.6715,3.869581
0.9500,1278.8132,3875.0186,4080.5799,3.006687
1.0000,1803.5657,2487.1709,3072.2741,2.263739
1.0500,2332.2402,1167.0669,2607.9474,1.921610
1.1000,2810.8147,-48.3478,2811.2305,2.071395
1.1500,3189.9856,-1114.5889,3379.0999,2.489817
1.2000,3439.4670,-1937.3766,3947.5767,2.908687
1.2500,3545.3770,-2464.0242,4317.5355,3.181283
1.3000,3502.4377,-2698.5579,4421.4573,3.257855
1.3500,3286.7329,-2601.6438,4191.7972,3.088635
1.4000,2880.2471,-2120.4712,3576.6215,2.635356
1.4500,2313.0725,-1292.9152,2649.8932,1.952517
1.5000,1616.1835,-170.3428,1625.1356,1.197446
1.5500,828.8432,1209.6840,1466.3957,1.080482
1.6000,29.2369,2744.9858,2745.1415,2.022698
1.6500,-731.2858,4329.4316,4390.7582,3.235235
1.7000,-1452.2688,5913.1191,6088.8474,4.486436
1.7500,-2130.5886,7429.5034,7728.9669,5.694923
1.8000,-2737.7986,8786.1689,9202.8423,6.780916
1.8500,-3230.5400,9943.4932,10455.1157,7.703627
1.9000,-3574.8350,10849.1045,11422.8943,8.416713
1.9500,-3755.1848,11377.7598,11981.4369,8.828263
2.0000,-3762.4253,11490.3818,12090.6873,8.908762
2.0500,-3602.9387,11242.5400,11805.7560,8.698817
2.1000,-3296.7271,10644.4355,11143.2678,8.210677
2.1500,-2851.1509,9763.8291,10171.5987,7.494723
2.2000,-2261.4307,8726.9111,9015.1565,6.642624
2.2500,-1569.1476,7544.8364,7706.2819,5.678208
2.3000,-864.5044,6256.9170,6316.3580,4.654072
2.3500,-177.5593,4983.7686,4986.9306,3.674512
2.4000,513.4330,3698.8022,3734.2672,2.751514
2.4500,1137.6805,2403.5793,2659.2312,1.959397
2.5000,1572.8248,1327.6785,2058.2779,1.516598
2.5500,1807.6344,604.1373,1905.9182,1.404335
2.6000,1882.0183,154.5820,1888.3560,1.391394
2.6500,1773.2810,-46.8091,1773.8987,1.307059
2.7000,1463.7834,59.8626,1465.0070,1.079459
2.7500,994.8493,469.8574,1100.2232,0.810676
2.8000,391.4246,1113.8855,1180.6583,0.869943
2.8500,-335.3197,2027.6816,2055.2207,1.514345
2.9000,-1103.6031,3308.0825,3487.3127,2.569551
2.9500,-1871.5568,4830.4644,5180.3582,3.817035
3.0000,-2672.8752,6396.8545,6932.8212,5.108300
3.0500,-3458.3848,8071.8115,8781.4900,6.470452
3.1000,-4148.4395,9935.7314,10767.0009,7.933433
3.1500,-4707.1567,11777.8770,12683.6789,9.345695
3.2000,-5098.5410,13326.9863,14268.9763,10.513788
3.2500,-5310.9556,14525.7959,15466.2534,11.395975
3.3000,-5367.8564,15408.5430,16316.7729,12.022662
3.3500,-5291.3584,15865.5342,16724.6420,12.323192
3.4000,-5082.3667,15712.6592,16514.1791,12.168117
3.4500,-4741.7388,14928.7861,15663.7397,11.541489
3.5000,-4276.3750,13639.5029,14294.1745,10.532354
3.5500,-3680.0103,11908.9111,12464.5353,9.184224
3.6000,-2937.7798,9739.4893,10172.9151,7.495693
3.6500,-2078.1628,7241.7578,7534.0439,5.551298
3.7000,-1218.0759,4662.9336,4819.4044,3.551074
3.7500,-466.2732,2255.2891,2302.9849,1.696905
3.8000,171.7028,165.9073,238.7616,0.175926
3.8500,710.2576,-1535.0420,1691.3958,1.246269
3.9000,1085.9651,-2761.7273,2967.5677,2.186588
3.9500,1214.6176,-3420.3218,3629.5863,2.674382
4.0000,1101.5458,-3493.5684,3663.1166,2.699088
4.0500,806.7761,-3005.7053,3112.0977,2.293082
4.1000,350.7859,-1958.4357,1989.6032,1.465996
4.1500,-271.9394,-404.9956,487.8242,0.359443
4.2000,-1032.9265,1555.0269,1866.8277,1.375532
4.2500,-1864.9692,3850.8469,4278.6835,3.152656
4.3000,-2704.0625,6381.6899,6930.9394,5.106913
4.3500,-3493.9167,8995.3682,9650.0830,7.110456
4.4000,-4195.3760,11561.6162,12299.2743,9.062455
4.4500,-4816.0962,13927.3486,14736.5472,10.858307
4.5000,-5363.0229,15857.2490,16739.6046,12.334217
4.5500,-5796.8916,17207.8926,18158.0704,13.379383
4.6000,-6080.1426,18019.1934,19017.3464,14.012522
4.6500,-6211.4893,18260.8828,19288.4017,14.212243
4.7000,-6178.7705,17772.2539,18815.6906,13.863936
4.7500,-5958.1265,16563.7422,17602.7505,12.970207
4.8000,-5573.7065,14842.3350,15854.3720,11.681952
4.8500,-5060.3677,12693.6914,13665.1792,10.068893
4.9000,-4410.8638,10056.6875,10981.4700,8.091459
4.9500,-3634.4172,7031.7759,7915.4823,5.832353
5.0000,-2779.1721,3893.5249,4783.6528,3.524731
5.0500,-1889.4314,830.5009,2063.8999,1.520740
5.1000,-997.7300,-2045.2183,2275.6060,1.676731
5.1500,-127.0259,-4554.0015,4555.7727,3.356823
5.2000,691.3039,-6505.9658,6542.5906,4.820767
5.2500,1401.9402,-7805.2378,7930.1433,5.843155
5.3000,1953.9183,-8393.5801,8618.0034,6.349990
5.3500,2325.4448,-8178.6807,8502.8531,6.265144
5.4000,2488.7532,-7145.3936,7566.4088,5.575145
5.4500,2390.9148,-5368.9312,5877.2353,4.330514
5.5000,2042.8982,-2911.8245,3556.9867,2.620889
5.5500,1536.0385,91.2521,1538.7466,1.133792
5.6000,917.7833,3482.7185,3601.6183,2.653775
5.6500,168.9948,7118.8662,7120.8718,5.246861
5.7000,-680.8778,10746.0967,10767.6454,7.933907
5.7500,-1547.0757,14194.6211,14278.6803,10.520938
5.8000,-2420.4202,17385.0820,17552.7636,12.933375
5.8500,-3325.8525,20078.8535,20352.4361,14.996254
5.9000,-4137.3398,22051.8594,22436.6237,16.531942
5.9500,-4683.2905,23248.2559,23715.2822,17.474094
6.0000,-4960.7939,23610.0391,24125.5761,17.776411
6.0500,-4999.7197,23053.7852,23589.7055,17.381566
6.1000,-4753.5073,21610.6367,22127.2558,16.303991
6.1500,-4241.0752,19375.0977,19833.8380,14.614136
6.2000,-3547.1226,16419.9043,16798.6706,12.377738
6.2500,-2709.7461,12938.6904,13219.3961,9.740427
6.3000,-1745.0723,9147.4678,9312.4349,6.861667
6.3500,-712.7731,5112.7798,5162.2246,3.803674
6.4000,355.3337,1022.0317,1082.0402,0.797278
6.4500,1474.3135,-2763.8025,3132.4438,2.308074
6.5000,2536.2473,-5960.2295,6477.4135,4.772743
6.5500,3344.4807,-8411.8799,9052.3629,6.670038
6.6000,3882.0913,-10060.0557,10783.1050,7.945298
6.6500,4255.2065,-10845.4551,11650.3510,8.584310
6.7000,4419.2100,-10657.7051,11537.5948,8.501228
6.7500,4240.4336,-9466.0967,10372.4762,7.642735
6.8000,3716.7864,-7375.5977,8259.1732,6.085594
6.8500,2931.2036,-4511.5112,5380.1197,3.964225
6.9000,1927.0696,-994.4523,2168.5324,1.597836
6.9500,764.4955,2944.9390,3042.5514,2.241838
7.0000,-476.4134,7013.9722,7030.1334,5.180002
7.0500,-1737.4728,11008.9785,11145.2420,8.212131
7.1000,-2944.0681,14730.0371,15021.3691,11.068172
7.1500,-4018.2146,17922.6426,18367.5574,13.533739
7.2000,-4858.2173,20409.3457,20979.6012,15.458367
7.2500,-5369.4438,22077.2090,22720.7853,16.741321
7.3000,-5547.2568,22827.1973,23491.5515,17.309243
7.3500,-5437.1719,22579.7812,23225.1880,17.112979
7.4000,-5111.2095,21291.7930,21896.6872,16.134102
7.4500,-4615.0552,19022.4980,19574.3242,14.422919
7.5000,-3935.2600,15936.7441,16415.4222,12.095350
7.5500,-3074.4421,12207.8408,12589.0259,9.275952
7.6000,-2075.0435,7952.5122,8218.7746,6.055827
7.6500,-1024.2220,3408.4126,3558.9756,2.622354
7.7000,2.0967,-1022.7276,1022.7297,0.753576
7.7500,987.3875,-5069.5615,5164.8222,3.805588
7.8000,1876.6155,-8597.7979,8800.2167,6.484250
7.8500,2566.6155,-11405.0938,11690.3241,8.613763
7.9000,3005.7126,-13289.7988,13625.4564,10.039624
7.9500,3200.4478,-14155.1660,14512.4633,10.693196
8.0000,3173.7708,-13977.4482,14333.2439,10.561142
8.0500,2925.0027,-12807.2295,13137.0000,9.679715
8.1000,2430.6062,-10736.2275,11007.9257,8.110953
8.1500,1709.9878,-7850.0679,8034.1536,5.919793
8.2000,799.0457,-4273.7529,4347.8084,3.203589
8.2500,-280.8493,-206.5330,348.6147,0.256869
8.3000,-1470.2932,4088.4646,4344.8021,3.201374
8.3500,-2697.8606,8354.1787,8778.9950,6.468613
8.4000,-3879.2996,12389.7012,12982.8217,9.566112
8.4500,-4901.6123,15972.5713,16707.7478,12.310744
8.5000,-5701.1772,18897.9980,19739.2440,14.544436
8.5500,-6257.6763,21100.0098,22008.3830,16.216403
8.6000,-6528.3281,22507.8691,23435.5124,17.267952
8.6500,-6481.6577,22955.2969,23852.8309,17.575444
8.7000,-6114.8848,22434.5195,23252.9457,17.133432
8.7500,-5418.2627,21111.3125,21795.5290,16.059566
8.8000,-4426.6157,18994.4336,19503.4211,14.370675
8.8500,-3223.9902,16005.7266,16327.1980,12.030344
8.9000,-1855.5959,12300.6230,12439.7976,9.165997
8.9500,-362.8949,8195.5068,8203.5373,6.044600
9.0000,1139.0371,3936.9575,4098.4192,3.019832
9.0500,2533.9304,-286.3015,2550.0533,1.878952
9.1000,3783.2014,-4208.2656,5658.8084,4.169571
9.1500,4859.1230,-7545.4072,8974.6447,6.612773
9.2000,5666.6992,-10153.4434,11627.7208,8.567635
9.2500,6100.6426,-11985.3994,13448.7040,9.909388
9.3000,6176.6992,-12978.2842,14373.1511,10.590547
9.3500,5951.2466,-13056.5781,14348.9222,10.572694
9.4000,5367.2422,-12221.8145,13348.4095,9.835488
9.4500,4407.0669,-10564.1953,11446.5917,8.434174
9.5000,3219.2483,-8189.9526,8799.9366,6.484044
9.5500,1963.3916,-5214.5669,5571.9489,4.105570
9.6000,674.9035,-1746.4696,1872.3383,1.379592
9.6500,-627.6319,2057.7393,2151.3281,1.585160
9.7000,-1791.3259,5905.5640,6171.2668,4.547165
9.7500,-2689.8096,9541.1621,9913.0646,7.304228
9.8000,-3385.9402,12859.8828,13298.1644,9.798466
9.8500,-3931.5728,15705.0117,16189.6466,11.928992
9.9000,-4226.5767,17790.9453,18286.1063,13.473723
9.9500,-4169.8452,18962.9082,19415.9598,14.306231
10.0000,-3789.0767,19278.4473,19647.2805,14.476675
10.0500,-3174.7808,18758.2520,19025.0164,14.018173
10.1000,-2328.1853,17402.9219,17557.9650,12.937208
10.1500,-1180.2827,15359.0293,15404.3127,11.350336
10.2000,192.1514,12798.2842,12799.7266,9.431203
10.2500,1570.1182,9805.6885,9930.5991,7.317148
10.3000,2874.9199,6491.8555,7099.9544,5.231448
10.3500,4146.8018,3105.6094,5180.8083,3.817367
10.4000,5305.9521,-58.2732,5306.2721,3.909812
10.4500,6218.7261,-2795.8450,6818.3065,5.023922
10.5000,6793.8042,-4982.8867,8425.2558,6.207968
10.5500,6964.6099,-6467.7119,9504.5825,7.003247
10.6000,6734.9360,-7129.2812,9807.4469,7.226406
10.6500,6141.7671,-7052.7930,9352.1758,6.890949
10.7000,5185.2100,-6291.8008,8153.1073,6.007441
10.7500,3846.3174,-4730.6250,6096.9640,4.492416
10.8000,2159.5833,-2473.1248,3283.3132,2.419239
10.8500,239.6404,225.7539,329.2300,0.242586
10.9000,-1833.5580,3288.4177,3765.0533,2.774198
10.9500,-4009.5308,6601.6768,7723.8898,5.691182
11.0000,-6098.5903,9893.1035,11621.8028,8.563275
11.0500,-7851.7773,12965.6455,15157.7825,11.168685
11.1000,-9188.3955,15731.8379,18218.5986,13.423982
11.1500,-10116.0771,18061.4785,20701.4981,15.253453
11.2000,-10531.9453,19784.3555,22413.0005,16.514536
11.2500,-10325.5469,20792.0820,23214.8141,17.105335
11.3000,-9545.8984,21028.7578,23093.9999,17.016316
11.3500,-8329.7158,20465.0684,22095.3205,16.280461
11.4000,-6758.7222,19111.1211,20271.0452,14.936283
11.4500,-4865.3213,16998.4219,17680.9982,13.027862
11.5000,-2714.7014,14220.0820,14476.8897,10.666984
11.5500,-418.0158,10960.0303,10967.9989,8.081534
11.6000,1855.9507,7419.1943,7647.8100,5.635124
11.6500,3930.4917,3759.1941,5438.7779,4.007446
11.7000,5714.8188,161.9296,5717.1125,4.212531
11.7500,7114.1938,-3157.2949,7783.3325,5.734981
11.8000,7967.4312,-6029.7324,9991.8783,7.362300
11.8500,8230.8594,-8252.2510,11655.3289,8.587978
11.9000,8008.8887,-9615.1680,12513.7426,9.220481
11.9500,7351.2319,-10086.8701,12481.4086,9.196657
12.0000,6243.6074,-9690.1797,11527.4549,8.493757
12.0500,4719.5928,-8366.2178,9605.6315,7.077702
12.1000,2850.7073,-6158.0747,6785.8983,5.000043
12.1500,721.7793,-3324.7634,3402.2077,2.506843
12.2000,-1542.3116,-128.6103,1547.6646,1.140363
12.2500,-3773.9971,3319.6814,5026.2649,3.703495
12.3000,-5809.2920,6896.4238,9017.1245,6.644074
12.3500,-7538.9917,10416.2266,12858.2336,9.474312
12.4000,-8883.5645,13756.6553,16375.6918,12.066075
12.4500,-9743.7402,16795.4941,19417.2371,14.307173
12.5000,-10076.3564,19342.7109,21809.9387,16.070183
12.5500,-9941.0947,21238.5527,23449.9784,17.278611
12.6000,-9372.8252,22463.3887,24340.3715,17.934678
12.6500,-8351.8545,23058.3867,24524.3282,18.070222
12.7000,-6939.6187,22951.5430,23977.7320,17.667475
12.7500,-5269.1465,21987.9648,22610.4954,16.660056
12.8000,-3434.4351,20125.9980,20416.9327,15.043777
12.8500,-1542.4474,17535.3574,17603.0652,12.970439
12.9000,255.0159,14452.9268,14455.1764,10.650985
12.9500,1865.0637,11077.1709,11233.0841,8.276856
13.0000,3223.5864,7590.7759,8246.9017,6.076552
13.0500,4247.4517,4153.6343,5940.8352,4.377376
13.1000,4904.0176,931.4100,4991.6844,3.678015
13.1500,5183.7324,-1917.1565,5526.8952,4.072374
13.2000,5053.4761,-4266.0229,6613.3632,4.872914
13.2500,4504.3970,-5983.0923,7489.1245,5.518200
13.3000,3587.2947,-6924.2617,7798.3385,5.746038
13.3500,2363.3350,-7017.2529,7404.5385,5.455875
13.4000,867.8374,-6335.5942,6394.7554,4.711838
