# ABAQUS Dynamic Analysis - Stress History
# ODB: tree_H8m_DBH15cm.odb
# f1=0.2786 Hz  U1_tip_max=0.0000 m  U2_tip_max=0.0000 m
# sigma_max_SM2=138.041 MPa  sigma_max_Mres=138.749 MPa
# DAF_SM2=7.669  DAF_Mres=7.708
time_s,SM1_Nm,SM2_Nm,Mres_Nm,sigma_bending_MPa
0.0000,0.0000,0.0000,0.0000,0.000000
0.0500,-0.9434,-8.7543,8.8049,0.015378
0.1000,-3.4167,-33.4662,33.6401,0.058754
0.1500,3.5995,24.9620,25.2201,0.044048
0.2000,38.3397,342.6554,344.7936,0.602201
0.2500,92.1752,877.4453,882.2734,1.540940
0.3000,128.0641,1434.0353,1439.7422,2.514591
0.3500,113.9259,1979.8174,1983.0925,3.463583
0.4000,41.5520,2520.1030,2520.4456,4.402100
0.4500,-67.1322,3038.6660,3039.4075,5.308496
0.5000,-176.5957,3639.8643,3644.1457,6.364706
0.5500,-257.2054,4411.8857,4419.3767,7.718690
0.6000,-293.4160,5302.1777,5310.2902,9.274721
0.6500,-287.4690,6211.8354,6218.4836,10.860932
0.7000,-251.1779,7094.3018,7098.7469,12.398361
0.7500,-215.1187,7910.6724,7913.5967,13.821542
0.8000,-208.4134,8633.2686,8635.7838,15.082883
0.8500,-207.1542,9357.8486,9360.1412,16.348014
0.9000,-161.8613,10195.2002,10196.4850,17.808735
0.9500,-49.3403,11103.3809,11103.4905,19.392871
1.0000,133.2164,11968.4990,11969.2404,20.904952
1.0500,367.1349,12713.8975,12719.1972,22.214794
1.1000,612.2219,13308.8584,13322.9324,23.269252
1.1500,842.1151,13795.1699,13820.8491,24.138891
1.2000,1054.9741,14275.3398,14314.2690,25.000677
1.2500,1260.6144,14811.2568,14864.8067,25.962222
1.3000,1477.9453,15365.9463,15436.8594,26.961344
1.3500,1724.0414,15851.1875,15944.6688,27.848262
1.4000,1987.3541,16205.6992,16327.1021,28.516203
1.4500,2226.5078,16430.3750,16580.5476,28.958860
