# ABAQUS Dynamic Analysis - Stress History
# ODB: tree_H6m_DBH15cm.odb
# f1=0.4953 Hz  U1_tip_max=0.0000 m  U2_tip_max=0.0000 m
# sigma_max_SM2=70.156 MPa  sigma_max_Mres=70.297 MPa
# DAF_SM2=3.898  DAF_Mres=3.905
time_s,SM1_Nm,SM2_Nm,Mres_Nm,sigma_bending_MPa
0.0000,0.0000,0.0000,0.0000,0.000000
0.0500,0.3506,2.6268,2.6501,0.004629
0.1000,12.3471,92.9662,93.7826,0.163797
0.1500,53.4860,417.0569,420.4726,0.734379
0.2000,106.9441,889.8684,896.2716,1.565389
0.2500,132.8804,1320.0093,1326.6807,2.317123
0.3000,116.6490,1781.0012,1784.8172,3.117284
0.3500,71.3618,2386.7681,2387.8346,4.170488
0.4000,17.9090,3094.8860,3094.9378,5.405483
0.4500,-46.2794,3804.5820,3804.8635,6.645408
0.5000,-128.9624,4454.7998,4456.6661,7.783818
0.5500,-206.5404,5101.5938,5105.7730,8.917520
0.6000,-244.6688,5784.6196,5789.7916,10.112197
0.6500,-228.6996,6441.5293,6445.5879,11.257582
0.7000,-188.7315,6982.3940,6984.9442,12.199598
0.7500,-157.7922,7375.3789,7377.0667,12.884462
0.8000,-103.9986,7696.0386,7696.7412,13.442792
0.8500,17.2193,7993.7495,7993.7681,13.961566
0.9000,194.4029,8179.6221,8181.9319,14.290205
0.9500,397.6185,8163.3086,8172.9865,14.274581
1.0000,621.2075,7973.0298,7997.1934,13.967549
1.0500,879.5061,7689.2290,7739.3652,13.517237
1.1000,1175.8551,7338.6743,7432.2793,12.980894
1.1500,1473.0166,6877.9004,7033.8675,12.285046
1.2000,1733.4076,6283.1230,6517.8476,11.383788
1.2500,1962.5453,5604.0454,5937.7529,10.370620
1.3000,2180.4583,4892.4932,5356.3875,9.355232
1.3500,2373.3274,4156.0347,4785.9489,8.358929
1.4000,2497.2043,3399.6982,4218.2908,7.367482
1.4500,2538.0913,2648.7983,3668.5202,6.407277
1.5000,2517.5588,1947.7731,3183.0681,5.559408
1.5500,2449.2090,1329.7284,2786.8983,4.867475
1.6000,2336.5227,777.9738,2462.6371,4.301134
1.6500,2178.0417,279.0606,2195.8462,3.835169
1.7000,1966.6449,-125.9291,1970.6725,3.441891
1.7500,1696.6375,-394.7282,1741.9498,3.042413
1.8000,1361.3170,-528.5186,1460.3136,2.550520
1.8500,964.9875,-532.5851,1102.2014,1.925057
1.9000,531.9730,-396.1091,663.2478,1.158400
1.9500,81.1717,-134.7504,157.3103,0.274751
2.0000,-384.1358,223.7732,444.5613,0.776451
2.0500,-863.2784,681.3596,1099.7729,1.920815
2.1000,-1348.6083,1238.1613,1830.7888,3.197576
2.1500,-1819.5652,1899.7095,2630.5348,4.594377
2.2000,-2248.4773,2688.6587,3504.9302,6.121558
2.2500,-2623.0574,3567.9004,4428.3567,7.734374
2.3000,-2960.5039,4478.9565,5368.9510,9.377175
2.3500,-3268.2427,5425.9658,6334.2336,11.063096
2.4000,-3508.4841,6375.3530,7276.9903,12.709673
2.4500,-3655.9795,7245.9087,8115.9952,14.175043
2.5000,-3748.7036,8051.2559,8881.1880,15.511495
2.5500,-3822.7097,8847.4609,9637.9808,16.833276
2.6000,-3856.2861,9608.0557,10353.0515,18.082187
2.6500,-3813.8345,10256.1094,10942.2627,19.111278
2.7000,-3695.5110,10739.3574,11357.4028,19.836344
2.7500,-3530.4165,11071.9971,11621.2288,20.297130
2.8000,-3339.7151,11288.8281,11772.4822,20.561303
2.8500,-3116.7200,11389.5850,11808.3271,20.623908
2.9000,-2833.3057,11393.8506,11740.8455,20.506048
2.9500,-2493.7954,11321.8906,11593.2835,20.248322
3.0000,-2159.5432,11140.0918,11347.4787,19.819010
3.0500,-1857.3235,10863.4395,11021.0692,19.248918
3.1000,-1559.7362,10582.7646,10697.0877,18.683066
3.1500,-1254.7124,10331.3516,10407.2632,18.176871
3.2000,-950.7981,10038.1338,10083.0624,17.610636
3.2500,-674.6746,9628.1807,9651.7899,16.857395
3.3000,-456.0764,9139.1074,9150.4803,15.981829
3.3500,-298.8719,8665.2627,8670.4153,15.143369
3.4000,-199.0127,8184.0571,8186.4765,14.298142
3.4500,-160.8430,7582.2637,7583.9695,13.245830
3.5000,-183.9503,6850.9092,6853.3783,11.969811
3.5500,-252.4321,6099.7314,6104.9526,10.662643
3.6000,-337.8267,5381.9351,5392.5274,9.418353
3.6500,-420.4000,4633.5000,4652.5325,8.125910
3.7000,-525.5766,3822.5044,3858.4674,6.739031
3.7500,-701.9835,3064.9675,3144.3293,5.491748
3.8000,-947.1226,2497.0461,2670.6330,4.664411
3.8500,-1207.2314,2099.4790,2421.8216,4.229848
3.9000,-1456.2806,1767.5685,2290.2078,3.999977
3.9500,-1733.9529,1499.0054,2292.0754,4.003239
4.0000,-2077.1968,1385.7841,2497.0270,4.361198
4.0500,-2449.7607,1460.7030,2852.1888,4.981508
4.1000,-2788.5747,1667.3654,3249.0393,5.674630
4.1500,-3088.0413,1955.5922,3655.1798,6.383977
4.2000,-3391.7344,2347.9658,4125.1431,7.204795
4.2500,-3708.7004,2902.9971,4709.7612,8.225863
4.3000,-3987.9868,3614.1167,5381.9958,9.399959
4.3500,-4184.3140,4412.8481,6081.2591,10.621261
4.4000,-4310.2441,5275.9810,6812.7953,11.898931
4.4500,-4415.5405,6223.4937,7630.7845,13.327595
4.5000,-4521.9585,7210.0146,8510.7238,14.864458
4.5500,-4600.7246,8141.6494,9351.6374,16.333161
4.6000,-4626.3901,9008.6758,10127.1775,17.687686
4.6500,-4615.3867,9861.0859,10887.7367,19.016045
4.7000,-4587.8203,10661.1738,11606.4087,20.271246
4.7500,-4528.5942,11308.8184,12181.8528,21.276292
4.8000,-4419.6426,11789.1992,12590.4114,21.989862
4.8500,-4271.2007,12161.3838,12889.6242,22.512454
4.9000,-4094.2659,12408.4229,13066.4445,22.821281
4.9500,-3880.8835,12426.6367,13018.5467,22.737625
5.0000,-3618.1123,12177.8076,12703.9260,22.188122
5.0500,-3305.7620,11736.6777,12193.3452,21.296364
5.1000,-2962.0312,11176.0254,11561.8845,20.193482
5.1500,-2594.3284,10481.7324,10798.0208,18.859351
5.2000,-2186.0278,9611.1611,9856.6290,17.215158
5.2500,-1736.7565,8594.7275,8768.4471,15.314587
5.3000,-1277.0677,7518.6328,7626.3190,13.319796
5.3500,-831.8290,6439.2549,6492.7608,11.339972
5.4000,-403.8023,5355.3818,5370.5839,9.380027
5.4500,-5.1842,4266.4712,4266.4743,7.451638
5.5000,340.1567,3240.9558,3258.7576,5.691604
5.5500,637.6142,2340.0278,2425.3416,4.235996
5.6000,910.7004,1564.3381,1810.1185,3.161474
5.6500,1150.2212,932.8713,1480.9651,2.586589
5.7000,1320.0497,457.1950,1396.9819,2.439908
5.7500,1408.7600,153.4499,1417.0927,2.475032
5.8000,1424.3826,88.7570,1427.1452,2.492589
5.8500,1350.7808,258.8110,1375.3515,2.402129
5.9000,1185.7157,597.9906,1327.9738,2.319381
5.9500,983.2643,1098.7494,1474.4691,2.575243
6.0000,783.2103,1770.4095,1935.9154,3.381185
6.0500,573.4529,2591.9954,2654.6729,4.636536
6.1000,338.4688,3529.9976,3546.1872,6.193616
6.1500,74.8974,4540.7588,4541.3764,7.931770
6.2000,-205.6055,5579.3267,5583.1138,9.751223
6.2500,-484.8918,6642.4126,6660.0875,11.632218
6.3000,-764.7070,7734.4658,7772.1772,13.574545
6.3500,-1051.1849,8764.8936,8827.7035,15.418081
6.4000,-1317.9022,9639.2607,9728.9369,16.992136
6.4500,-1510.3469,10385.7803,10495.0264,18.330155
6.5000,-1623.5138,11073.2197,11191.6036,19.546766
6.5500,-1736.2124,11715.0264,11842.9843,20.684439
6.6000,-1886.8789,12232.7295,12377.3981,21.617823
6.6500,-1996.0099,12529.0215,12687.0184,22.158592
6.7000,-1995.8607,12634.1787,12790.8534,22.339946
6.7500,-1939.3701,12647.5742,12795.4011,22.347888
6.8000,-1917.8633,12573.0684,12718.5002,22.213577
6.8500,-1936.2180,12342.4229,12493.3719,21.820377
6.9000,-1922.3116,11943.7891,12097.4948,21.128956
6.9500,-1831.1058,11429.3721,11575.1240,20.216606
7.0000,-1703.2131,10823.1621,10956.3577,19.135896
7.0500,-1600.9836,10105.3086,10231.3445,17.869619
7.1000,-1505.6774,9267.2500,9388.7692,16.398014
7.1500,-1362.5365,8334.9355,8445.5702,14.750664
7.2000,-1165.4230,7360.8828,7452.5705,13.016334
7.2500,-930.9177,6371.1636,6438.8146,11.245752
7.3000,-672.1578,5356.2437,5398.2536,9.428354
7.3500,-396.1203,4327.8955,4345.9856,7.590509
7.4000,-130.4872,3304.1052,3306.6809,5.775304
7.4500,73.7038,2289.9734,2291.1592,4.001639
7.5000,216.0003,1309.5392,1327.2336,2.318088
7.5500,342.5974,401.9334,528.1321,0.922412
7.6000,476.2844,-433.0431,643.7182,1.124290
7.6500,586.1970,-1212.8773,1347.1074,2.352799
7.7000,624.8675,-1877.9696,1979.1991,3.456783
7.7500,607.7338,-2347.8652,2425.2446,4.235826
7.8000,581.8703,-2624.8501,2688.5705,4.695740
7.8500,534.1425,-2749.8088,2801.2063,4.892465
7.9000,417.2306,-2734.2419,2765.8923,4.830787
7.9500,224.2353,-2545.7776,2555.6340,4.463559
8.0000,3.6303,-2149.3684,2149.3715,3.753998
8.0500,-200.2967,-1587.5160,1600.1018,2.794668
8.1000,-415.3926,-940.8805,1028.4975,1.796329
8.1500,-688.4541,-210.9453,720.0465,1.257602
8.2000,-1008.6072,653.9132,1202.0362,2.099424
8.2500,-1343.5664,1656.1788,2132.6273,3.724754
8.3000,-1682.1782,2725.3916,3202.7305,5.593749
8.3500,-2039.4219,3786.7578,4301.0204,7.511974
8.4000,-2420.3335,4843.6016,5414.6551,9.457000
8.4500,-2774.2849,5922.9429,6540.4823,11.423321
8.5000,-3057.4338,6987.5522,7627.1743,13.321289
8.5500,-3288.7021,8003.6211,8652.9482,15.112861
8.6000,-3489.6311,8983.3369,9637.3164,16.832116
8.6500,-3643.6711,9904.9854,10553.9127,18.433003
8.7000,-3719.3013,10725.2969,11351.8807,19.826699
8.7500,-3693.1748,11451.6602,12032.4586,21.015366
8.8000,-3575.9009,12079.5273,12597.7001,22.002593
8.8500,-3399.1074,12529.5684,12982.4503,22.674580
8.9000,-3156.9688,12726.2021,13111.9286,22.900722
8.9500,-2819.0430,12677.1318,12986.7885,22.682157
9.0000,-2396.1086,12451.6064,12680.0568,22.146433
9.0500,-1933.7552,12084.2549,12237.9992,21.374355
9.1000,-1449.3186,11542.7900,11633.4228,20.318428
9.1500,-918.0122,10818.1543,10857.0350,18.962423
9.2000,-332.2508,9957.4326,9962.9742,17.400895
9.2500,253.4136,8989.2900,8992.8613,15.706539
9.3000,790.6697,7886.4600,7925.9958,13.843198
