# ABAQUS Dynamic Analysis - Stress History
# ODB: tree_H8m_DBH25cm.odb
# f1=0.5942 Hz  U1_tip_max=0.0000 m  U2_tip_max=0.0000 m
# sigma_max_SM2=22.621 MPa  sigma_max_Mres=23.272 MPa
# DAF_SM2=1.257  DAF_Mres=1.293
time_s,SM1_Nm,SM2_Nm,Mres_Nm,sigma_bending_MPa
0.0000,0.0000,0.0000,0.0000,0.000000
0.0500,-0.0991,-0.9199,0.9253,0.000349
0.1000,27.8353,258.1059,259.6025,0.097937
0.1500,136.2468,1316.0441,1323.0779,0.499139
0.2000,286.1016,2968.6953,2982.4497,1.125148
0.2500,352.1265,4462.9590,4476.8288,1.688911
0.3000,265.8876,5904.2827,5910.2665,2.229684
0.3500,58.6449,7721.2744,7721.4971,2.912982
0.4000,-181.8869,9878.9326,9880.6069,3.727520
0.4500,-433.5478,12070.7900,12078.5734,4.556716
0.5000,-728.0432,13934.1475,13953.1542,5.263913
0.5500,-1015.6431,15521.4248,15554.6186,5.868076
0.6000,-1181.5753,17092.3477,17133.1395,6.463582
0.6500,-1142.4749,18586.3809,18621.4608,7.025061
0.7000,-974.4197,19656.6816,19680.8188,7.424710
0.7500,-824.7158,20040.3672,20057.3297,7.566751
0.8000,-634.9002,19959.8535,19969.9487,7.533786
0.8500,-233.1366,19776.3281,19777.7023,7.461260
0.9000,391.3858,19347.6348,19351.5931,7.300508
0.9500,1128.3230,18277.3398,18312.1344,6.908366
1.0000,1897.3510,16529.6855,16638.2224,6.276872
1.0500,2711.0090,14456.6836,14708.6801,5.548940
1.1000,3619.6401,12376.4473,12894.8921,4.864677
1.1500,4540.5747,10244.2627,11205.4334,4.227319
1.2000,5307.2300,7857.8223,9482.1970,3.577217
1.2500,5875.4492,5296.2729,7910.2093,2.984175
1.3000,6320.3623,2867.0186,6940.2287,2.618244
1.3500,6660.2612,765.7354,6704.1353,2.529176
1.4000,6771.6968,-1002.5108,6845.5025,2.582508
1.4500,6556.2402,-2493.0012,7014.2242,2.646159
1.5000,6058.3765,-3614.2205,7054.5386,2.661368
1.5500,5376.9561,-4158.0762,6797.1504,2.564267
1.6000,4591.2910,-4120.9053,6169.4257,2.327454
1.6500,3706.7146,-3672.2969,5217.8058,1.968449
1.7000,2667.5217,-2841.0376,3897.0716,1.470194
1.7500,1460.0447,-1521.1298,2108.4511,0.795426
1.8000,120.7652,322.7535,344.6071,0.130005
1.8500,-1295.5901,2618.4333,2921.4289,1.102127
1.9000,-2712.6616,5238.7485,5899.4084,2.225588
1.9500,-4075.1643,8003.9971,8981.6999,3.388402
2.0000,-5354.2148,10793.3457,12048.3994,4.545333
2.0500,-6518.8174,13606.0625,15087.0778,5.691693
2.1000,-7543.3911,16371.5166,18025.7956,6.800342
2.1500,-8386.7939,18992.9980,20762.2804,7.832698
2.2000,-8970.9268,21505.3223,23301.4251,8.790606
2.2500,-9246.5146,23826.6367,25557.9078,9.641878
2.3000,-9277.5752,25760.9922,27380.6888,10.329534
2.3500,-9140.2100,27286.1719,28776.3551,10.856057
2.4000,-8764.2666,28309.9961,29635.5909,11.180209
2.4500,-8072.7222,28615.9531,29732.8373,11.216896
2.5000,-7190.5688,28313.8359,29212.6272,11.020644
2.5500,-6294.7114,27675.2871,28382.1230,10.707331
2.6000,-5395.4219,26703.8516,27243.4628,10.277764
2.6500,-4406.4438,25243.9004,25625.5976,9.667415
2.7000,-3308.9053,23206.9395,23441.6487,8.843506
2.7500,-2205.7051,20716.6113,20833.7015,7.859642
2.8000,-1235.6313,18026.8555,18069.1534,6.816699
2.8500,-437.5215,15285.5127,15291.7731,5.768916
2.9000,295.3116,12641.9053,12645.3540,4.770538
2.9500,1009.6395,10235.2432,10284.9198,3.880049
3.0000,1509.4265,8023.0518,8163.8060,3.079846
3.0500,1645.4606,6104.4028,6322.2840,2.385121
3.1000,1501.6080,4839.0547,5066.6830,1.911437
3.1500,1197.1100,4384.4902,4544.9782,1.714621
3.2000,789.2063,4507.2524,4575.8246,1.726258
3.2500,214.7827,4894.6948,4899.4050,1.848331
3.3000,-646.2822,5567.5771,5604.9617,2.114506
3.3500,-1774.2303,6807.0566,7034.4803,2.653801
3.4000,-3049.7625,8555.9238,9083.2199,3.426701
3.4500,-4403.4463,10334.0566,11233.1236,4.237765
3.5000,-5815.2915,11885.1514,13231.5698,4.991691
3.5500,-7229.5161,13419.0186,15242.5707,5.750354
3.6000,-8505.5576,15109.8838,17339.3512,6.541377
3.6500,-9493.0781,16725.6895,19231.9323,7.255365
3.7000,-10224.0762,17956.8535,20663.5022,7.795434
3.7500,-10886.2695,18939.4492,21845.2192,8.241244
3.8000,-11514.7930,20081.2285,23148.3519,8.732858
3.8500,-11912.9346,21405.5801,24497.2829,9.241751
3.9000,-11936.0977,22499.4688,25469.5214,9.608534
3.9500,-11713.4131,23119.1992,25917.2031,9.777425
4.0000,-11462.4541,23448.8262,26100.4847,9.846569
4.0500,-11159.1426,23719.3320,26213.2252,9.889101
4.1000,-10593.5977,23878.9062,26123.2937,9.855174
4.1500,-9710.9102,23694.4199,25607.1730,9.660464
4.2000,-8712.6680,23102.1406,24690.4736,9.314633
4.2500,-7777.7012,22357.0488,23671.2963,8.930142
4.3000,-6835.6611,21678.8711,22731.0298,8.575421
4.3500,-5718.8770,20977.1719,21742.7527,8.202587
4.4000,-4445.1655,20125.6074,20610.6664,7.775501
4.4500,-3265.2957,19192.2402,19468.0313,7.344435
4.5000,-2395.4612,18227.3867,18384.1198,6.935522
4.5500,-1792.8820,17143.9648,17237.4579,6.502937
4.6000,-1311.7529,15970.5039,16024.2844,6.045260
4.6500,-968.6710,14878.9590,14910.4575,5.625062
4.7000,-898.6125,13871.5498,13900.6258,5.244097
4.7500,-1127.8857,12800.7773,12850.3707,4.847882
4.8000,-1560.4520,11700.0498,11803.6510,4.453000
4.8500,-2127.6187,10771.1025,10979.2263,4.141981
4.9000,-2823.1228,10021.6348,10411.6851,3.927872
4.9500,-3646.7869,9210.2588,9905.9538,3.737082
5.0000,-4546.5059,8230.4912,9402.7497,3.547245
5.0500,-5423.6396,7282.7056,9080.4002,3.425637
5.1000,-6232.6006,6607.5181,9083.2046,3.426695
5.1500,-6969.9072,6206.7026,9332.8862,3.520889
5.2000,-7577.9414,5908.8477,9609.3536,3.625188
5.2500,-7993.5190,5676.3975,9803.9704,3.698608
5.3000,-8221.0820,5681.5942,9993.3329,3.770046
5.3500,-8290.7100,6089.0498,10286.5154,3.880651
5.4000,-8211.9658,6861.9014,10701.4986,4.037206
5.4500,-8012.3779,7840.1465,11210.0891,4.229075
5.5000,-7724.7017,9040.5127,11891.2525,4.486048
5.5500,-7295.5649,10564.2695,12838.5770,4.843432
5.6000,-6644.7046,12367.3154,14039.3230,5.296421
5.6500,-5814.6509,14400.7305,15530.3317,5.858913
5.7000,-4937.4263,16530.6738,17252.2855,6.508531
5.7500,-4067.7561,18637.2031,19075.9529,7.196521
5.8000,-3196.2141,20883.7285,21126.8999,7.970253
5.8500,-2399.4873,23267.0449,23390.4450,8.824190
5.9000,-1732.9824,25480.9375,25539.8004,9.635047
5.9500,-1065.3217,27371.4336,27392.1574,10.333860
6.0000,-284.8150,28932.3145,28933.7163,10.915423
6.0500,542.3070,30152.2188,30157.0952,11.376950
6.1000,1309.6562,31000.8594,31028.5108,11.705697
6.1500,1936.6111,31351.3848,31411.1412,11.850047
6.2000,2409.6626,31052.9062,31146.2592,11.750118
6.2500,2779.4182,30185.6016,30313.2926,11.435876
6.3000,3028.1091,28957.5078,29115.4032,10.983965
6.3500,3082.1577,27246.4492,27420.2241,10.344448
6.4000,2971.3398,24809.7812,24987.0788,9.426529
6.4500,2866.2261,21815.0645,22002.5519,8.300598
6.5000,2825.0483,18688.0391,18900.3625,7.130278
6.5500,2597.1384,15737.6914,15950.5504,6.017443
6.6000,1985.1615,12892.5830,13044.5223,4.921126
6.6500,1213.9806,9860.7188,9935.1660,3.748103
6.7000,592.5759,6764.8696,6790.7737,2.561861
6.7500,52.7554,4123.0454,4123.3829,1.555572
6.8000,-716.3309,2176.3345,2291.1922,0.864366
6.8500,-1814.8624,747.1794,1962.6519,0.740423
6.9000,-2988.3127,-314.4677,3004.8133,1.133584
6.9500,-3932.9778,-892.4012,4032.9511,1.521456
7.0000,-4664.1113,-820.3265,4735.7016,1.786573
7.0500,-5435.2305,-114.7489,5436.4416,2.050931
7.1000,-6270.0742,1051.1575,6357.5752,2.398434
7.1500,-6919.0000,2533.0010,7368.0835,2.779655
7.2000,-7206.9204,4380.0200,8433.5210,3.181598
7.2500,-7137.3306,6654.9712,9758.5926,3.681489
7.3000,-6832.5615,9209.6465,11467.4097,4.326151
7.3500,-6376.8145,11824.9150,13434.7452,5.068340
7.4000,-5790.0781,14321.2520,15447.4355,5.827640
7.4500,-5160.4717,16587.3633,17371.5598,6.553528
7.5000,-4533.2520,18618.5527,19162.4862,7.229166
7.5500,-3839.7576,20402.2090,20760.3918,7.831986
7.6000,-3010.9111,21750.9082,21958.3149,8.283910
7.6500,-2091.1826,22455.2539,22552.4161,8.508038
7.7000,-1245.9799,22646.5273,22680.7775,8.556463
7.7500,-528.9447,22594.4297,22600.6202,8.526223
7.8000,160.5258,22276.5625,22277.1409,8.404189
7.8500,819.9434,21502.6953,21518.3227,8.117920
7.9000,1311.6469,20207.3984,20249.9227,7.639408
7.9500,1539.7805,18551.6016,18615.3927,7.022772
8.0000,1574.2125,16787.8379,16861.4841,6.361099
8.0500,1571.6812,14910.3076,14992.9135,5.656169
8.1000,1509.2716,12704.9160,12794.2484,4.826709
8.1500,1209.9749,10222.2676,10293.6288,3.883335
8.2000,617.1557,7805.0493,7829.4110,2.953694
8.2500,-189.5797,5701.0825,5704.2337,2.151957
8.3000,-1107.7687,3857.2725,4013.1910,1.514001
8.3500,-2124.9539,2092.5205,2982.2929,1.125088
8.4000,-3298.1042,484.6078,3333.5171,1.257590
8.4500,-4524.7598,-679.4374,4575.4875,1.726131
8.5000,-5615.7227,-1302.5388,5764.8025,2.174807
8.5500,-6543.0820,-1416.2852,6694.6087,2.525582
8.6000,-7366.2720,-981.3372,7431.3515,2.803523
8.6500,-8085.7163,-22.3730,8085.7473,3.050398
8.7000,-8617.8281,1409.7198,8732.3692,3.294340
8.7500,-8819.5479,3389.9490,9448.6072,3.564545
8.8000,-8655.8584,5871.4980,10459.3678,3.945861
8.8500,-8261.6113,8518.0781,11866.4180,4.476679
8.9000,-7691.5684,11014.7266,13434.4492,5.068229
8.9500,-6839.5967,13324.0586,14977.0030,5.650167
9.0000,-5672.1162,15602.6758,16601.6985,6.263093
9.0500,-4321.8086,17893.5898,18408.1120,6.944574
9.1000,-2917.4543,19980.1562,20192.0327,7.617569
9.1500,-1438.5260,21675.0273,21722.7109,8.195027
9.2000,178.0729,23001.8301,23002.5194,8.677842
9.2500,1813.7585,23979.9160,24048.4114,9.072411
9.3000,3268.8472,24445.9434,24663.5259,9.304467
9.3500,4545.7808,24211.4980,24634.5440,9.293534
9.4000,5702.4194,23309.8027,23997.1767,9.053083
9.4500,6641.7051,21914.0273,22898.4026,8.638563
9.5000,7276.3789,20091.2363,21368.2818,8.061316
9.5500,7681.6812,17775.4590,19364.2755,7.305292
9.6000,7996.5493,15028.3623,17023.4096,6.422186
9.6500,8196.8701,12164.5693,14668.5182,5.533789
9.7000,8165.4302,9356.6670,12418.5936,4.684991
9.7500,7949.0732,6470.6675,10249.7465,3.866780
9.8000,7619.4561,3517.1404,8392.0431,3.165950
9.8500,7079.8745,789.7375,7123.7847,2.687492
9.9000,6230.7534,-1540.9736,6418.4802,2.421411
9.9500,5169.3184,-3585.0908,6290.8448,2.373260
10.0000,4129.5620,-5392.1660,6791.8140,2.562254
10.0500,3174.4624,-6767.2734,7474.8379,2.819929
10.1000,2140.7671,-7459.7432,7760.8409,2.927825
10.1500,1057.3302,-7351.6943,7427.3385,2.802009
10.2000,206.4605,-6538.4678,6541.7266,2.467907
10.2500,-373.2039,-5187.0996,5200.5080,1.961924
10.3000,-921.7510,-3350.2246,3474.7129,1.310857
10.3500,-1497.0748,-998.2056,1799.3464,0.678815
10.4000,-1902.3787,1909.1012,2695.1274,1.016753
10.4500,-1958.4219,5366.5942,5712.7708,2.155178
10.5000,-1774.0531,9243.5342,9412.2361,3.550824
10.5500,-1705.0381,13352.4795,13460.9013,5.078208
10.6000,-1829.0375,17607.0488,17701.7950,6.678111
10.6500,-1837.9558,21828.3516,21905.5932,8.264020
10.7000,-1590.8047,25698.0723,25747.2635,9.713314
10.7500,-1346.4900,29187.5059,29218.5478,11.022877
10.8000,-1431.9886,32361.1934,32392.8607,12.220406
10.8500,-1827.3634,35004.0898,35051.7555,13.223491
10.9000,-2267.0737,36958.7969,37028.2634,13.969141
10.9500,-2739.7637,38198.1680,38296.2967,14.447514
11.0000,-3424.2900,38661.9375,38813.2860,14.642551
11.0500,-4227.2446,38381.2227,38613.3118,14.567110
11.1000,-4870.4697,37407.3945,37723.1314,14.231284
11.1500,-5289.2993,35749.6445,36138.8125,13.633590
11.2000,-5626.2456,33497.0000,33966.2133,12.813963
11.2500,-5932.2695,30745.7109,31312.7859,11.812941
11.3000,-6062.7046,27515.7695,28175.7690,10.629482
